concurrency,artifact_id,artifact_name,source_file_path,total_records,field,field_name,canonical_field,present_count,presence_rate,null_count,null_rate,null_rate_among_present,dtype,python_types,min,max,numeric_min,numeric_max,observed_unit,observed_unit_values,unit_value_present_count,inferred_unit
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.agent_depth,metadata.agent_depth,metadataagentdepth,638,1.0,0,0.0,0.0,int,int,0.0,1.0,0.0,1.0,,,0,unknown
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.benchmark_phase,metadata.benchmark_phase,metadatabenchmarkphase,638,1.0,0,0.0,0.0,str,str,,,,,,,0,unknown
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.context_overflow_skip,metadata.context_overflow_skip,metadatacontextoverflowskip,638,1.0,0,0.0,0.0,bool,bool,,,,,,,0,unknown
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.conversation_id,metadata.conversation_id,metadataconversationid,638,1.0,0,0.0,0.0,str,str,,,,,,,0,unknown
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.credit_issued_ns,metadata.credit_issued_ns,metadatacreditissuedns,638,1.0,0,0.0,0.0,int,int,1.7846371576945047e+18,1.78464142974219e+18,1.7846371576945047e+18,1.78464142974219e+18,,,0,nanoseconds
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.parent_correlation_id,metadata.parent_correlation_id,metadataparentcorrelationid,306,0.47962382445141066,0,0.0,0.0,str,str,,,,,,,0,unknown
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.record_processor_id,metadata.record_processor_id,metadatarecordprocessorid,638,1.0,0,0.0,0.0,str,str,,,,,,,0,unknown
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.request_ack_ns,metadata.request_ack_ns,metadatarequestackns,638,1.0,0,0.0,0.0,int,int,1.78463715873942e+18,1.7846414306873897e+18,1.78463715873942e+18,1.7846414306873897e+18,,,0,nanoseconds
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.request_end_ns,metadata.request_end_ns,metadatarequestendns,638,1.0,0,0.0,0.0,int,int,1.784637237904247e+18,1.7846414315824335e+18,1.784637237904247e+18,1.7846414315824335e+18,,,0,nanoseconds
1,8497343270,agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3,/Users/sskim/Documents/Codex/2026-08-06/h200-agentx-conversation-id-benchmark-analysis/data/raw/github/run_29820102138/conc1/raw_agentic/8497343270_agentic_glm5.2_p1x1_d1x8_conc1_kvdram-hisparse_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw1_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw1_disagg-true_spec-none_conc1_h200-dgxc-slurm_3/conc_1/aiperf_artifacts/profile_export.jsonl,638,metadata.request_start_ns,metadata.request_start_ns,metadatarequeststartns,638,1.0,0,0.0,0.0,int,int,1.7846371578043459e+18,1.7846414297438474e+18,1.7846371578043459e+18,1.7846414297438474e+18,,,0,nanoseconds
