concurrency,branch_group,exact_turn_request_count,distinct_root_ids,median_input_tokens,median_ttft_ms,median_theoretical_new_tokens,median_theoretical_cache_ratio,spearman_ttft_vs_input_tokens,spearman_ttft_vs_theoretical_new_tokens,spearman_ttft_vs_theoretical_cache_ratio
1,all,1,1,76160.0,1272.514492,6080.0,0.9201680672268907,,,
1,root,1,1,76160.0,1272.514492,6080.0,0.9201680672268907,,,
2,all,1,1,87808.0,890.623652,768.0,0.9912536443148688,,,
2,subagent_main,1,1,87808.0,890.623652,768.0,0.9912536443148688,,,
3,all,5,3,66688.0,57866.189135,14336.0,0.8200803212851405,-0.49999999999999994,0.3,-0.3
3,root,4,3,69696.0,33683.685172,18976.0,0.7476281888115843,-0.19999999999999998,0.7999999999999999,-0.7999999999999999
3,subagent_main,1,1,33664.0,68630.6583,1664.0,0.9505703422053232,,,
4,all,5,4,50304.0,2702.1677529999997,26912.0,0.6359376973085481,0.0,0.7999999999999999,-0.39999999999999997
4,root,3,3,66944.0,2702.1677529999997,3520.0,0.9281045751633987,0.5,1.0,-1.0
4,subagent_main,2,1,41152.0,3720.4041454999997,50304.0,0.0,,,
5,all,2,2,71104.0,84518.145609,3040.0,0.9468032927456698,,,
5,root,1,1,54400.0,2383.2503619999998,5312.0,0.9023529411764706,,,
5,subagent_main,1,1,87808.0,166653.040856,768.0,0.9912536443148688,,,
6,all,3,2,48960.0,102316.77337299999,26912.0,0.46405228758169936,1.0,,
6,root,1,1,48960.0,102316.77337299999,3520.0,0.9281045751633987,,,
6,subagent_main,2,1,41152.0,99157.5823675,50304.0,0.0,,,
7,all,3,2,35264.0,280386.483681,50304.0,0.0,-1.0,,
7,subagent_main,3,2,35264.0,280386.483681,50304.0,0.0,-1.0,,
8,all,1,1,66688.0,185415.521869,9088.0,0.8637236084452975,,,
8,root,1,1,66688.0,185415.521869,9088.0,0.8637236084452975,,,
