concurrency,observation_group,source_model,source_trace_count_with_model,source_trace_count_in_group,source_model_trace_share
1,observed,claude-haiku-4-5-20251001,1,2,0.5
1,observed,claude-opus-4-7,1,2,0.5
1,observed,claude-opus-4-8,2,2,1.0
1,never_observed,claude-fable-5,101,391,0.25831202046035806
1,never_observed,claude-haiku-4-5-20251001,130,391,0.33248081841432225
1,never_observed,claude-opus-4-6,27,391,0.06905370843989769
1,never_observed,claude-opus-4-7,26,391,0.06649616368286446
1,never_observed,claude-opus-4-8,312,391,0.7979539641943734
1,never_observed,claude-sonnet-4-5,4,391,0.010230179028132993
1,never_observed,claude-sonnet-4-6,9,391,0.023017902813299233
2,observed,claude-fable-5,2,4,0.5
2,observed,claude-haiku-4-5-20251001,2,4,0.5
2,observed,claude-opus-4-6,2,4,0.5
2,observed,claude-opus-4-7,1,4,0.25
2,observed,claude-opus-4-8,3,4,0.75
2,never_observed,claude-fable-5,99,389,0.2544987146529563
2,never_observed,claude-haiku-4-5-20251001,129,389,0.33161953727506427
2,never_observed,claude-opus-4-6,25,389,0.06426735218508997
2,never_observed,claude-opus-4-7,26,389,0.06683804627249357
2,never_observed,claude-opus-4-8,311,389,0.7994858611825193
2,never_observed,claude-sonnet-4-5,4,389,0.010282776349614395
2,never_observed,claude-sonnet-4-6,9,389,0.02313624678663239
3,observed,claude-fable-5,2,7,0.2857142857142857
3,observed,claude-haiku-4-5-20251001,2,7,0.2857142857142857
3,observed,claude-opus-4-6,2,7,0.2857142857142857
3,observed,claude-opus-4-7,1,7,0.14285714285714285
3,observed,claude-opus-4-8,6,7,0.8571428571428571
3,never_observed,claude-fable-5,99,386,0.25647668393782386
3,never_observed,claude-haiku-4-5-20251001,129,386,0.33419689119170987
3,never_observed,claude-opus-4-6,25,386,0.06476683937823834
3,never_observed,claude-opus-4-7,26,386,0.06735751295336788
3,never_observed,claude-opus-4-8,308,386,0.7979274611398963
3,never_observed,claude-sonnet-4-5,4,386,0.010362694300518135
3,never_observed,claude-sonnet-4-6,9,386,0.023316062176165803
4,observed,claude-fable-5,2,8,0.25
4,observed,claude-haiku-4-5-20251001,3,8,0.375
4,observed,claude-opus-4-6,2,8,0.25
4,observed,claude-opus-4-7,1,8,0.125
4,observed,claude-opus-4-8,7,8,0.875
4,never_observed,claude-fable-5,99,385,0.2571428571428571
4,never_observed,claude-haiku-4-5-20251001,128,385,0.33246753246753247
4,never_observed,claude-opus-4-6,25,385,0.06493506493506493
4,never_observed,claude-opus-4-7,26,385,0.06753246753246753
4,never_observed,claude-opus-4-8,307,385,0.7974025974025974
4,never_observed,claude-sonnet-4-5,4,385,0.01038961038961039
4,never_observed,claude-sonnet-4-6,9,385,0.023376623376623377
5,observed,claude-fable-5,3,7,0.42857142857142855
5,observed,claude-haiku-4-5-20251001,4,7,0.5714285714285714
5,observed,claude-opus-4-6,2,7,0.2857142857142857
5,observed,claude-opus-4-7,1,7,0.14285714285714285
5,observed,claude-opus-4-8,5,7,0.7142857142857143
5,never_observed,claude-fable-5,98,386,0.2538860103626943
5,never_observed,claude-haiku-4-5-20251001,127,386,0.3290155440414508
5,never_observed,claude-opus-4-6,25,386,0.06476683937823834
5,never_observed,claude-opus-4-7,26,386,0.06735751295336788
5,never_observed,claude-opus-4-8,309,386,0.8005181347150259
5,never_observed,claude-sonnet-4-5,4,386,0.010362694300518135
5,never_observed,claude-sonnet-4-6,9,386,0.023316062176165803
6,observed,claude-fable-5,3,9,0.3333333333333333
6,observed,claude-haiku-4-5-20251001,4,9,0.4444444444444444
6,observed,claude-opus-4-6,2,9,0.2222222222222222
6,observed,claude-opus-4-7,1,9,0.1111111111111111
6,observed,claude-opus-4-8,7,9,0.7777777777777778
6,never_observed,claude-fable-5,98,384,0.2552083333333333
6,never_observed,claude-haiku-4-5-20251001,127,384,0.3307291666666667
6,never_observed,claude-opus-4-6,25,384,0.06510416666666667
6,never_observed,claude-opus-4-7,26,384,0.06770833333333333
6,never_observed,claude-opus-4-8,307,384,0.7994791666666666
6,never_observed,claude-sonnet-4-5,4,384,0.010416666666666666
6,never_observed,claude-sonnet-4-6,9,384,0.0234375
7,observed,claude-fable-5,3,9,0.3333333333333333
7,observed,claude-haiku-4-5-20251001,4,9,0.4444444444444444
7,observed,claude-opus-4-6,2,9,0.2222222222222222
7,observed,claude-opus-4-7,1,9,0.1111111111111111
7,observed,claude-opus-4-8,7,9,0.7777777777777778
7,never_observed,claude-fable-5,98,384,0.2552083333333333
7,never_observed,claude-haiku-4-5-20251001,127,384,0.3307291666666667
7,never_observed,claude-opus-4-6,25,384,0.06510416666666667
7,never_observed,claude-opus-4-7,26,384,0.06770833333333333
7,never_observed,claude-opus-4-8,307,384,0.7994791666666666
7,never_observed,claude-sonnet-4-5,4,384,0.010416666666666666
7,never_observed,claude-sonnet-4-6,9,384,0.0234375
8,observed,claude-fable-5,3,11,0.2727272727272727
8,observed,claude-haiku-4-5-20251001,5,11,0.45454545454545453
8,observed,claude-opus-4-6,2,11,0.18181818181818182
8,observed,claude-opus-4-7,1,11,0.09090909090909091
8,observed,claude-opus-4-8,9,11,0.8181818181818182
8,never_observed,claude-fable-5,98,382,0.25654450261780104
8,never_observed,claude-haiku-4-5-20251001,126,382,0.3298429319371728
8,never_observed,claude-opus-4-6,25,382,0.06544502617801047
8,never_observed,claude-opus-4-7,26,382,0.06806282722513089
8,never_observed,claude-opus-4-8,305,382,0.7984293193717278
8,never_observed,claude-sonnet-4-5,4,382,0.010471204188481676
8,never_observed,claude-sonnet-4-6,9,382,0.02356020942408377
