concurrency,observation_group,source_trace_count,source_request_count_total_mean,source_request_count_total_median,source_recorded_span_s_mean,source_recorded_span_s_median,source_total_input_tokens_mean,source_total_input_tokens_median,source_total_output_tokens_mean,source_total_output_tokens_median,source_subagent_count_mean,source_subagent_count_median,source_max_input_tokens_mean,source_max_input_tokens_median
1,observed,2,349.5,349.5,118459.465,118459.465,88937440.0,88937440.0,496482.5,496482.5,5.0,5.0,600384.0,600384.0
1,never_observed,391,250.96675191815856,81.0,58520.65619948849,10092.49,54878533.237851664,11171968.0,269773.74168797955,95178.0,4.31457800511509,0.0,311387.82608695654,223360.0
2,observed,4,400.25,349.5,96462.05175,81614.0465,93844752.0,88937440.0,494075.75,496482.5,6.0,7.0,571440.0,600384.0
2,never_observed,389,249.93830334190233,81.0,58438.6819974293,10092.49,54652962.38560411,11169984.0,268632.8920308483,93881.0,4.300771208226221,0.0,310199.60925449873,223360.0
3,observed,7,244.85714285714286,107.0,80831.44357142856,73578.766,54915108.571428575,11843328.0,303262.5714285714,169943.0,3.5714285714285716,3.0,380882.28571428574,315648.0
3,never_observed,386,251.5880829015544,83.5,58426.6202046632,10012.0415,55054340.974093266,11185728.0,270341.08808290155,95602.5,4.331606217616581,0.0,311624.95336787566,224000.0
4,observed,8,239.0,152.5,95941.149375,87523.16750000001,52585640.0,24061344.0,288512.875,177604.0,3.625,3.5,382800.0,355936.0
4,never_observed,385,251.72727272727272,81.0,58054.457945454546,9931.593,55103107.15844156,11171968.0,270562.06493506493,95178.0,4.332467532467533,0.0,311405.2155844156,223360.0
5,observed,7,266.7142857142857,198.0,85059.62328571429,17764.261,59791195.428571425,36279360.0,316923.14285714284,185265.0,4.428571428571429,4.0,424475.4285714286,396224.0
5,never_observed,386,251.1917098445596,81.0,58349.94337046633,10106.908,54965914.52849741,11170976.0,270093.35751295334,94529.5,4.316062176165803,0.0,310834.40414507774,223360.0
6,observed,9,214.22222222222223,107.0,74880.18800000001,17764.261,47013987.55555555,11843328.0,257921.33333333334,169943.0,3.5555555555555554,3.0,358826.6666666667,315648.0
6,never_observed,384,252.34114583333334,83.5,58449.410968749995,10106.908,55240248.666666664,11185728.0,271232.3072916667,95602.5,4.3359375,0.0,311781.1666666667,224000.0
7,observed,9,214.22222222222223,107.0,74880.18800000001,17764.261,47013987.55555555,11843328.0,257921.33333333334,169943.0,3.5555555555555554,3.0,358826.6666666667,315648.0
7,never_observed,384,252.34114583333334,83.5,58449.410968749995,10106.908,55240248.666666664,11185728.0,271232.3072916667,95602.5,4.3359375,0.0,311781.1666666667,224000.0
8,observed,11,186.63636363636363,73.0,70828.16836363637,17764.261,39282373.81818182,4540992.0,218316.0909090909,61035.0,3.0,3.0,315066.1818181818,180544.0
8,never_observed,382,253.33507853403142,86.0,58480.06715183247,10106.908,55505956.18848167,11214176.0,272442.4633507853,96570.0,4.356020942408377,0.0,312794.97382198955,225472.0
