concurrency,branch_type,branch_taxonomy,profiled_request_count,distinct_root_ids,total_input_tokens,total_output_tokens,median_input_tokens,median_output_tokens,median_ttft_ms,p90_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,token_weighted_itl_ms,error_count,cancellation_count
1,auxiliary,h200_replay_conversation_suffix,1,1,1.0,1.0,1.0,1.0,3919.409475,3919.409475,,,3919.409475,3919.409475,,0,0
1,fanout,h200_replay_conversation_suffix,101,2,3413075.0,59928.0,1.0,1.0,1404.139688,2614.2778289999997,30.906682686746986,33.18563126513552,1572.224858,80496.94105699999,30.510030187992033,0,0
1,root,h200_replay_conversation_suffix,98,2,860496.0,17013.0,1.0,1.0,3004.8079989999997,3598.7966883999998,28.851990023349934,30.376146671513542,3125.1728114999996,13245.09850169998,29.113213039728052,0,0
1,subagent_main,h200_replay_conversation_suffix,155,1,7414478.0,50320.0,52834.0,115.0,804.808826,1526.5570267999997,30.19698514736842,32.01089082170103,4466.138527,7298.183760199997,30.36350110563141,0,0
2,auxiliary,h200_replay_conversation_suffix,4,2,668.0,24.0,1.0,1.0,9220.422386999999,51730.70036950002,31.8433113,31.8433113,9220.422386999999,51730.70036950002,31.8433113,0,0
2,fanout,h200_replay_conversation_suffix,179,2,790581.0,6680.0,1.0,1.0,2176.503659,30561.258700200153,29.691714747911206,31.917397606562314,2208.441808,39754.65520140003,30.333942287955697,0,0
2,root,h200_replay_conversation_suffix,164,3,6032860.0,69906.0,1.0,1.0,2801.69135,6028.718251,31.86504210567822,32.589140083767575,3722.2540879999997,61216.78501140005,31.34641762011413,0,0
2,subagent_main,h200_replay_conversation_suffix,48,1,2578983.0,48928.0,47888.5,348.0,914.887533,3951.935599900001,32.37855925822308,34.63970517877763,12627.2075945,91003.92798770004,32.41429863655892,0,0
3,auxiliary,h200_replay_conversation_suffix,18,3,44640.0,32979.0,2967.0,2088.0,63332.271682499995,68985.4932319,29.62512015114155,32.869518625725185,113321.16679399999,149706.3013375,30.20739676089924,0,0
3,fanout,h200_replay_conversation_suffix,190,2,798106.0,6773.0,1.0,1.0,2359.9025425,60984.36429789999,31.081439208588957,33.834098609152626,2386.3354369999997,62877.82568359999,30.30447519079447,0,0
3,root,h200_replay_conversation_suffix,204,6,8502490.0,72776.0,1.0,1.0,2779.3591675,60014.01921590005,31.47851047796116,33.3763983292837,8017.718585999999,78192.62300860004,31.46716527120652,0,0
3,subagent_main,h200_replay_conversation_suffix,43,2,2453570.0,46477.0,54802.0,538.0,4535.919506,51755.076478999996,29.530363649999998,33.50909311643429,38602.933897999996,90583.68842040002,29.65944212025671,0,0
4,auxiliary,h200_replay_conversation_suffix,17,4,45287.0,32998.0,2966.0,2117.0,2002.341232,5704.113601600002,39.18504492279359,39.65098405926969,83237.549893,113657.4361838,39.015977864103576,0,0
4,fanout,h200_replay_conversation_suffix,26,2,3090962.0,56794.0,130568.5,1101.0,2870.894754,19192.973246,34.111349912155944,38.42534217458501,42304.015333999996,201676.552576,33.2223926375599,0,0
4,root,h200_replay_conversation_suffix,209,8,8623463.0,75873.0,1.0,1.0,3446.714776,93621.97370840002,34.170749948392555,38.10612350352062,27821.330815999998,108375.87696,34.18642182705117,0,0
4,subagent_main,h200_replay_conversation_suffix,127,3,6144037.0,77544.0,47896.0,121.0,2985.579917,66478.2635486,32.857123573770494,38.22656573298228,25556.05734,97007.59343000001,34.699201189196174,0,0
