concurrency,source_origin_branch_type,branch_taxonomy,profiled_request_count,distinct_root_ids,total_input_tokens,total_output_tokens,median_input_tokens,median_output_tokens,median_ttft_ms,p90_ttft_ms,median_itl_ms,p90_itl_ms,median_e2e_ms,p90_e2e_ms,token_weighted_itl_ms,error_count,cancellation_count
1,root,source_trace_flattening_origin,200,2,4273572.0,76942.0,1.0,1.0,2338.2190069999997,3573.4416739,30.39965637784097,32.10001863418944,2909.2208895,32596.452179399996,30.202152336712622,0,0
1,subagent,source_trace_flattening_origin,155,1,7414478.0,50320.0,52834.0,115.0,804.808826,1526.5570267999997,30.19698514736842,32.01089082170103,4466.138527,7298.183760199997,30.36350110563141,0,0
2,root,source_trace_flattening_origin,347,4,6824109.0,76610.0,1.0,1.0,2399.184062,17932.591640800107,31.69418239069111,32.56405450927835,2868.778731,53145.07535520007,31.260239994518958,0,0
2,subagent,source_trace_flattening_origin,48,1,2578983.0,48928.0,47888.5,348.0,914.887533,3951.935599900001,32.37855925822308,34.63970517877763,12627.2075945,91003.92798770004,32.41429863655892,0,0
3,root,source_trace_flattening_origin,399,7,9306538.0,82684.0,1.0,1.0,2575.720058,61018.33433019999,31.499259101694914,33.84545202532144,3217.836339,71706.518405,31.46314316298232,0,0
3,subagent,source_trace_flattening_origin,56,2,2492268.0,76321.0,45364.5,739.0,10470.312258999998,65917.195637,29.556381064364082,32.283638585605736,60194.447153,145324.39476449997,29.726051047334952,0,0
4,root,source_trace_flattening_origin,239,8,11721027.0,135821.0,7506.0,24.0,3446.714776,86152.82200820003,34.171733747870526,38.20739179120157,30971.818001,123063.89942860008,33.86470176001238,0,0
4,subagent,source_trace_flattening_origin,140,3,6182722.0,107388.0,44307.5,127.0,2356.962354,64741.43371480001,33.36763121719247,39.13417687798013,31796.5755555,106735.7527393,35.93820152119387,0,0
5,root,source_trace_flattening_origin,163,7,3953727.0,56205.0,1.0,1.0,57473.899654999994,215381.740112,31.618265030137614,34.99436609562853,67656.554169,220173.1536168,31.35946346067235,0,0
5,subagent,source_trace_flattening_origin,87,3,5657124.0,52672.0,70400.0,116.0,68000.063131,168485.3546632,31.928329391666665,35.41058509077064,85465.915375,195429.43176960002,31.67207174911096,0,0
6,root,source_trace_flattening_origin,108,9,3209399.0,27084.0,1.0,1.0,161617.8358015,266502.6608744,31.729106087951806,37.07179962377998,185242.91779749998,267679.0947189,31.71862698565392,0,0
6,subagent,source_trace_flattening_origin,89,4,4013335.0,84923.0,43794.0,218.0,107347.801142,175206.3276068,31.9549938061674,35.964690713735585,137090.53211,202852.63208399998,31.719407873942053,0,0
7,root,source_trace_flattening_origin,94,9,3657246.0,25310.0,1.0,1.0,218041.07309599998,325005.66667320003,31.327176318286575,36.56581471308767,225007.1195885,330186.8531906,31.278071060993017,0,0
7,subagent,source_trace_flattening_origin,147,5,7046848.0,99008.0,45912.0,204.0,179286.73377999998,269963.5426358,31.054531782981527,35.30782154891198,194430.942804,293179.6505606,31.810536642123797,0,0
8,root,source_trace_flattening_origin,110,11,4720312.0,33978.0,2581.0,17.5,240815.35288199998,328313.17229889997,30.7945681385607,34.039677647870185,261116.668895,333636.3565242,30.819515674707684,0,0
8,subagent,source_trace_flattening_origin,109,4,5774012.0,50640.0,48444.0,166.0,216214.478833,281980.8043966,30.63947863977095,33.12898478128003,229750.15422599998,305783.18649299996,30.710062304822777,0,0
