recycle_class,root_id,lane_id,session_id,source_total_requests,observed_requests,warmup_requests,profile_requests,first_warmup_source_idx,last_warmup_source_idx,first_profile_source_idx,first_warmup_outer_idx,first_warmup_inner_idx,last_warmup_outer_idx,last_warmup_inner_idx,first_profile_outer_idx,first_profile_inner_idx,first_profile_turn_index,first_warmup_timestamp,last_warmup_timestamp,first_profile_timestamp,warmup_count_eq_10,observed_distinct_source_requests,warmup_are_contiguous,warmup_immediately_precede_first_profile,num_source_requests_between_last_warmup_and_first_profile,source_order_relation,warmup_distinct_turn_index,warmup_distinct_conversation_id,warmup_distinct_subagent_conversation_id,warmup_distinct_source_outer_idx,warmup_distinct_source_outer_inner_idx,warmup_root_conversation_requests,warmup_subagent_requests,first_profile_is_first_source_request,full_source_coverage,dataset_row_idx,root_next_at_t_star,root_turns,live_at_t_star,ready_at_t_star
recycled_during_warmup,15ab8fdb8831965bb01e45ac51829cb4e3e3,,02fb544e-e505-4bee-a4da-6b836e3379ca,140,116,9,107,0,8,9,0,,8,,9,,9,2026-08-04T01:20:07.010263Z,2026-08-04T01:26:45.559859Z,2026-08-04T01:27:43.844110Z,false,116,true,true,0,adjacent,9,1,0,9,9,9,0,false,false,40,,,,
recycled_during_warmup,162d6f4f741a1cf3ce98acb5e3718c3bc0c7,,23172cc6-c5e8-44f1-ac88-9ef541e98949,675,132,9,123,0,8,9,0,,8,,9,,8,2026-08-04T01:20:08.469826Z,2026-08-04T01:26:18.814637Z,2026-08-04T01:32:03.058083Z,false,132,true,true,0,adjacent,8,2,1,9,9,8,1,false,false,41,,,,
recycled_during_warmup,16b968359e79eda8a61415fa7ad536f6cda5,,d140ea4d-f6f9-423d-ba91-562d2014dfc8,615,176,8,168,0,7,8,0,,7,,8,,8,2026-08-04T01:21:58.392027Z,2026-08-04T01:26:45.778972Z,2026-08-04T01:28:09.534348Z,false,176,true,true,0,adjacent,8,1,0,8,8,8,0,false,false,42,,,,
recycled_during_warmup,16c18d979235980e8021cfb0a0b3b386305a,,5d392ca4-ee63-47dd-b941-f4c2e7f4baf9,269,245,7,238,0,6.0,4.1,0,,6,0,4,1,1,2026-08-04T01:23:55.302074Z,2026-08-04T01:24:33.285226Z,2026-08-04T01:29:13.471619Z,false,245,false,false,-7,source_order_overlap,4,4,3,7,7,4,3,false,false,43,,,,
recycled_during_warmup,16e46bc4d9e121ffbd67ada51cb3f965342f,,193810b5-2b91-4440-88a9-cab560599bb2,427,155,6,149,0,5,6,0,,5,,6,,6,2026-08-04T01:24:01.256822Z,2026-08-04T01:26:42.111848Z,2026-08-04T01:28:25.010128Z,false,155,true,true,0,adjacent,6,1,0,6,6,6,0,false,false,44,,,,
recycled_during_warmup,17808bf55e26681520f3f11f47b5e1260108,,93bb92a5-5b93-4eb3-b7a3-844e7db8d96a,27,27,5,22,0,4,5,0,,4,,5,,5,2026-08-04T01:24:07.703973Z,2026-08-04T01:26:43.051453Z,2026-08-04T01:27:39.256044Z,false,27,true,true,0,adjacent,5,1,0,5,5,5,0,false,true,45,,,,
recycled_during_warmup,18bf3ef42c109a28326d8384f1bcc8dfae37,,5e9b4ada-7a52-43ac-93a0-7a5c290a56a9,55,55,5,50,0,4,5,0,,4,,5,,1,2026-08-04T01:24:08.147890Z,2026-08-04T01:25:45.631278Z,2026-08-04T01:30:04.519711Z,false,55,true,true,0,adjacent,2,3,2,5,5,2,3,false,true,46,,,,
recycled_during_warmup,1a271af3dedd40be2efd413ef35fe7f0f53b,,b8f63bd8-2b96-4147-a100-6ef84ecd4125,176,71,3,68,0,2,3,0,,2,,3,,3,2026-08-04T01:26:09.318285Z,2026-08-04T01:26:58.252896Z,2026-08-04T01:27:51.510896Z,false,71,true,true,0,adjacent,3,1,0,3,3,3,0,false,false,47,,,,
recycled_during_warmup,1b5229e3aa8893ca2f4d07d248f9cd9752fb,,0354af97-a14c-40f4-ad7b-5f4efd2cc17f,27,27,2,25,0,1,2,0,,1,,2,,2,2026-08-04T01:26:45.285378Z,2026-08-04T01:26:57.660693Z,2026-08-04T01:27:11.250436Z,false,27,true,true,0,adjacent,2,1,0,2,2,2,0,false,true,48,,,,
profiling_only_recycled_or_handoff_deferred,1b577bfa02cd2c421c0b59c5cac702b3c287,,1f91ff9b-79c1-4b33-ba0a-0a6823520aa2,162,162,0,162,,,0,,,,,0,,0,,,2026-08-04T01:27:03.058316Z,false,162,false,false,,,0,0,0,0,0,0,0,true,true,49,,,,
profiling_only_recycled_or_handoff_deferred,1b57efe98ed202c35114d97e01ec25e8420b,,3a751303-1c22-4712-abb0-a766bda67a33,21,21,0,21,,,0,,,,,0,,0,,,2026-08-04T01:27:03.056656Z,false,21,false,false,,,0,0,0,0,0,0,0,true,true,50,,,,
recycled_during_warmup,1c4f3018d336b1bf78434d328001bc7bbe49,,d6626076-f9d6-4b39-9663-f9fe805d9304,72,59,1,58,0,0,1,0,,0,,1,,1,2026-08-04T01:26:58.891681Z,2026-08-04T01:26:58.891681Z,2026-08-04T01:27:03.173157Z,false,59,true,true,0,adjacent,1,1,0,1,1,1,0,false,false,51,,,,
profiling_only_recycled_or_handoff_deferred,1cdb6c60ce49f7b74ab6cf59051bab7591e6,,a92d018d-9955-4055-83e0-06649053c55a,31,31,0,31,,,0,,,,,0,,0,,,2026-08-04T01:27:03.056914Z,false,31,false,false,,,0,0,0,0,0,0,0,true,true,52,,,,
profiling_only_recycled_or_handoff_deferred,1d8a2c1d4dc1f585337036c6ad60e1ce5eb3,,9dc64d29-82f1-4548-9faa-4724b45b5057,342,208,0,208,,,0,,,,,0,,0,,,2026-08-04T01:27:03.096131Z,false,208,false,false,,,0,0,0,0,0,0,0,true,false,53,,,,
profiling_only_recycled_or_handoff_deferred,1f5f21559e4b79c6d2480796c7218206047f,,fe0965cf-1422-4218-bebe-22303600ba1b,119,66,0,66,,,0,,,,,0,,0,,,2026-08-04T01:29:39.219955Z,false,66,false,false,,,0,0,0,0,0,0,0,true,false,54,,,,
profiling_only_recycled_or_handoff_deferred,1fc68c514c7fb89dbc498ae9da77d5476cec,,2f5f8ad2-eb48-461d-8512-83adf4f850bd,849,101,0,101,,,0,,,,,0,,0,,,2026-08-04T01:30:34.932540Z,false,101,false,false,,,0,0,0,0,0,0,0,true,false,55,,,,
profiling_only_recycled_or_handoff_deferred,203147a7ad6c355f99290d8ac7811e6de5be,,333de5ba-3e1f-43d6-84d8-8eefaa278ed3,34,34,0,34,,,0,,,,,0,,0,,,2026-08-04T01:31:04.536314Z,false,34,false,false,,,0,0,0,0,0,0,0,true,true,56,,,,
profiling_only_recycled_or_handoff_deferred,208d6e28928b0b3d3b33db3c690173d15be3,,82debdb5-1850-4c60-ae91-495a148e5fb5,844,55,0,55,,,0,,,,,0,,0,,,2026-08-04T01:31:12.437388Z,false,55,false,false,,,0,0,0,0,0,0,0,true,false,57,,,,
