component,endpoint_url,worker_id,metric,rank_series_count,timeslice_sample_count_total,observed_min_across_rank_series,observed_max_across_rank_series,rank_series_median_avg,rank_series_median_p50,rank_series_median_p90,rank_series_median_p95,rank_series_min_of_max,rank_series_max_of_max,description,scope_note,summary_sampling,classification
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,8,28992.0,0.0,4.0,0.010899558498896247,0.0,0.0,0.0,1.0,4.0,The number of requests in the decode prealloc queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.62.108:7502/metrics,694d9fdfb4d8ee18,sglang:num_decode_prealloc_queue_reqs,8,28856.0,0.0,4.0,0.010419554569817946,0.0,0.0,0.0,1.0,4.0,The number of requests in the decode prealloc queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_transfer_queue_reqs,8,28992.0,0.0,2.0,0.011658388520971303,0.0,0.0,0.0,0.0,2.0,The number of requests in the decode transfer queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.62.108:7502/metrics,694d9fdfb4d8ee18,sglang:num_decode_transfer_queue_reqs,8,28856.0,0.0,2.0,0.007647167544589224,0.0,0.0,0.0,0.0,2.0,The number of requests in the decode transfer queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_prefill_bootstrap_queue_reqs,8,28992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the prefill bootstrap queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.62.108:7502/metrics,694d9fdfb4d8ee18,sglang:num_prefill_bootstrap_queue_reqs,8,28856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the prefill bootstrap queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_prefill_inflight_queue_reqs,8,28992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the prefill inflight queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.62.108:7502/metrics,694d9fdfb4d8ee18,sglang:num_prefill_inflight_queue_reqs,8,28856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the prefill inflight queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_queue_reqs,8,28992.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the waiting queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
decode,http://10.49.62.108:7502/metrics,694d9fdfb4d8ee18,sglang:num_queue_reqs,8,28856.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the waiting queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; decode endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
