component,endpoint_url,worker_id,metric,bucket_start_ns,bucket_end_ns,timeslice_row_count,rank_series_count,rank_series_value_min,rank_series_value_median,rank_series_value_max,scope_note,classification
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166593655464712,1786166603655464712,72,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166603655464712,1786166613655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166613655464712,1786166623655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166623655464712,1786166633655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166633655464712,1786166643655464712,72,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166643655464712,1786166653655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166653655464712,1786166663655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166663655464712,1786166673655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166673655464712,1786166683655464712,80,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
decode,http://10.49.115.1:7503/metrics,694d9fdfb4d8ee1b,sglang:num_decode_prealloc_queue_reqs,1786166683655464712,1786166693655464712,72,8,0.0,0.0,0.0,10-second downsample across public rank-export series; values are not summed into a worker/global count.,Evidence
