metric,worker_id,rank,timeslice_count,selected_field_under_current_parser,selected_field_counts,raw_timeslice_schema_keys,timeslice_start_ns_min,timeslice_end_ns_max,classification,notes,avg_present_fraction,last_present_fraction,max_present_fraction,value_present_fraction,min_present_fraction,avg_fractional_value_count,avg_differs_from_max_count
sglang:num_running_reqs,694d9fdfb4d8ee18,0,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,15,15
sglang:num_running_reqs,694d9fdfb4d8ee18,1,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,26,26
sglang:num_running_reqs,694d9fdfb4d8ee18,2,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,18,18
sglang:num_running_reqs,694d9fdfb4d8ee18,3,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,26,26
sglang:num_running_reqs,694d9fdfb4d8ee18,4,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,17,17
sglang:num_running_reqs,694d9fdfb4d8ee18,5,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,24,26
sglang:num_running_reqs,694d9fdfb4d8ee18,6,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,14,14
sglang:num_running_reqs,694d9fdfb4d8ee18,7,3607,avg,"{""avg"": 3607}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594657379419,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,28,31
sglang:num_running_reqs,694d9fdfb4d8ee1b,0,3624,avg,"{""avg"": 3624}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594806495265,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,23,24
sglang:num_running_reqs,694d9fdfb4d8ee1b,1,3624,avg,"{""avg"": 3624}","[""avg"", ""end_ns"", ""max"", ""min"", ""start_ns""]",1786166594806495265,1786170233656961586,Evidence,"Presence is measured from raw public JSON timeslices. Current parser priority is avg, value, last, max; a missing statistic is not substituted in this inventory.",1.0,0.0,1.0,0.0,1.0,18,18
