timestamp_ns,event_type,event_order_at_timestamp,row_position,delta,root_delta,subagent_delta,unknown_branch_delta,inflight_after_event,root_inflight,subagent_inflight,unknown_branch_inflight,profiling_inflight
1786166593662181632,start,0,0,1,1,0,0,1,1,0,0,1
1786166605108670720,end,0,0,-1,-1,0,0,0,0,0,0,0
1786166610512069376,start,0,1,1,1,0,0,1,1,0,0,1
1786166616520158464,start,0,2,1,1,0,0,2,2,0,0,2
1786166620967706880,end,0,1,-1,-1,0,0,1,1,0,0,1
1786166631880692736,end,0,2,-1,-1,0,0,0,0,0,0,0
1786166633086070016,start,0,3,1,1,0,0,1,1,0,0,1
1786166640911534080,end,0,3,-1,-1,0,0,0,0,0,0,0
1786166642166718208,start,0,4,1,1,0,0,1,1,0,0,1
1786166644323887872,end,0,4,-1,-1,0,0,0,0,0,0,0
1786166652989475328,start,0,5,1,1,0,0,1,1,0,0,1
1786166681156018176,end,0,5,-1,-1,0,0,0,0,0,0,0
1786166686982918656,start,0,6,1,1,0,0,1,1,0,0,1
1786166692301485312,end,0,6,-1,-1,0,0,0,0,0,0,0
1786166692994830080,start,0,7,1,1,0,0,1,1,0,0,1
1786166700291766528,end,0,7,-1,-1,0,0,0,0,0,0,0
1786166710294891520,start,0,8,1,1,0,0,1,1,0,0,1
1786166715031079936,end,0,8,-1,-1,0,0,0,0,0,0,0
1786166717054521088,start,0,9,1,1,0,0,1,1,0,0,1
1786166756332860672,end,0,9,-1,-1,0,0,0,0,0,0,0
1786166759036430592,start,0,10,1,1,0,0,1,1,0,0,1
1786166768251180032,end,0,10,-1,-1,0,0,0,0,0,0,0
1786166769417100544,start,0,11,1,1,0,0,1,1,0,0,1
1786166772944484864,end,0,11,-1,-1,0,0,0,0,0,0,0
1786166774178035968,start,0,12,1,1,0,0,1,1,0,0,1
1786166782547983616,end,0,12,-1,-1,0,0,0,0,0,0,0
1786166783362751232,start,0,13,1,1,0,0,1,1,0,0,1
1786166787284549888,end,0,13,-1,-1,0,0,0,0,0,0,0
1786166792453508352,start,0,14,1,1,0,0,1,1,0,0,1
1786166801412711936,end,0,14,-1,-1,0,0,0,0,0,0,0
1786166809780338432,start,0,15,1,1,0,0,1,1,0,0,1
1786166810532049920,start,0,16,1,1,0,0,2,2,0,0,2
1786166819199083776,end,0,15,-1,-1,0,0,1,1,0,0,1
1786166820662189568,start,0,17,1,1,0,0,2,2,0,0,2
1786166830694095104,end,0,16,-1,-1,0,0,1,1,0,0,1
1786166835701579264,end,0,17,-1,-1,0,0,0,0,0,0,0
1786166837149256192,start,0,18,1,1,0,0,1,1,0,0,1
1786166841130539008,end,0,18,-1,-1,0,0,0,0,0,0,0
1786166842236750336,start,0,19,1,1,0,0,1,1,0,0,1
