component,endpoint_url,worker_id,metric,rank_series_count,timeslice_sample_count_total,observed_min_across_rank_series,observed_max_across_rank_series,rank_series_median_avg,rank_series_median_p50,rank_series_median_p90,rank_series_median_p95,rank_series_min_of_max,rank_series_max_of_max,description,scope_note,summary_sampling,classification
prefill,http://10.49.123.178:7501/metrics,694d9fdfb4d8ee15,sglang:num_decode_prealloc_queue_reqs,8,28976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the decode prealloc queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.14.237:7500/metrics,694d9fdfb4d8ee13,sglang:num_decode_prealloc_queue_reqs,8,28920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the decode prealloc queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.123.178:7501/metrics,694d9fdfb4d8ee15,sglang:num_decode_transfer_queue_reqs,8,28976.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the decode transfer queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.14.237:7500/metrics,694d9fdfb4d8ee13,sglang:num_decode_transfer_queue_reqs,8,28920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,The number of requests in the decode transfer queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.123.178:7501/metrics,694d9fdfb4d8ee15,sglang:num_prefill_bootstrap_queue_reqs,8,28976.0,0.0,2.0,0.16671268175961718,0.0,1.0,1.0,2.0,2.0,The number of requests in the prefill bootstrap queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.14.237:7500/metrics,694d9fdfb4d8ee13,sglang:num_prefill_bootstrap_queue_reqs,8,28920.0,0.0,5.0,0.2579529737206086,0.0,1.0,1.0,5.0,5.0,The number of requests in the prefill bootstrap queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.123.178:7501/metrics,694d9fdfb4d8ee15,sglang:num_prefill_inflight_queue_reqs,8,28976.0,0.0,4.0,0.14835265967237254,0.0,1.0,1.0,4.0,4.0,The number of requests in the prefill inflight queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.14.237:7500/metrics,694d9fdfb4d8ee13,sglang:num_prefill_inflight_queue_reqs,8,28920.0,0.0,3.0,0.2029506685108345,0.0,1.0,1.0,3.0,3.0,The number of requests in the prefill inflight queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.123.178:7501/metrics,694d9fdfb4d8ee15,sglang:num_queue_reqs,8,28976.0,0.0,5.0,0.11664826062948647,0.0,0.0,1.0,5.0,5.0,The number of requests in the waiting queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
prefill,http://10.49.14.237:7500/metrics,694d9fdfb4d8ee13,sglang:num_queue_reqs,8,28920.0,0.0,5.0,0.11701244813278008,0.0,0.0,1.0,5.0,5.0,The number of requests in the waiting queue.,AIPerf public server-metrics profiling export; explicit SGLang metric; prefill endpoint/rank-series scope. Values across rank exports are not summed into a worker or cluster count.,profiling-window 1-second AIPerf timeslice samples; per-rank series are summarized but never summed,Evidence
