request_identity_key,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,exact_source_key,session_num,turn_index,request_start_ns,request_ack_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,worker_id,x_request_id,interval_valid,branch_concurrency_group,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end
31235207041|8|9017979109|0|063179eb93f4337a662e859c5a2c5638e03f::aux:001|0|1786166593662181632|88,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,2,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|2|-1,0,0,1786166593662181632,1786166593677108736,1786166605108670720,2684.420421,438.0963025,11446.346470999999,21.0,worker_8a32eb3d,77a95b11-e304-4181-97a3-4b9f8c22fbc1,True,root,0,1,1,0,1,0
31235207041|8|9017979109|1|063179eb93f4337a662e859c5a2c5638e03f::fa:000|1|1786166610512069376|89,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,3,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|3|-1,1,1,1786166610512069376,1786166610625672704,1786166620967706880,616.551817,10.907878413525498,10455.458145999999,903.0,worker_52cdd4a9,10997e63-5f93-4d01-8b86-ccaa96aaae59,True,root,0,1,1,0,2,1
31235207041|8|9017979109|2|05c249572509162371b7b82339674db64b5d|6|1786166616520158464|90,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,6,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|6|-1,2,6,1786166616520158464,1786166616785223680,1786166631880692736,923.2064879999999,22.007823474085363,15360.338687,657.0,worker_29a49ec4,53513d10-d292-4995-bd66-f8febce2d544,True,root,1,2,2,0,1,0
31235207041|8|9017979109|3|05c249572509162371b7b82339674db64b5d|7|1786166633086070016|91,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,7,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|7|-1,3,7,1786166633086070016,1786166633387215360,1786166640911534080,881.432323,11.869927001709401,7825.339618999999,586.0,worker_29a49ec4,b9716d82-c37b-4dec-b134-98aedf3ca921,True,root,0,1,1,0,1,0
31235207041|8|9017979109|4|05c249572509162371b7b82339674db64b5d|8|1786166642166718208|92,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,8,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|8|-1,4,8,1786166642166718208,1786166642437222912,1786166644323887872,884.458987,127.2585839,2157.044826,11.0,worker_29a49ec4,720a54fc-438a-4213-916e-14ebd169fd2c,True,root,0,1,1,0,1,0
31235207041|8|9017979109|5|063179eb93f4337a662e859c5a2c5638e03f::fa:000|2|1786166652989475328|93,063179eb93f4337a662e859c5a2c5638e03f,063179eb93f4337a662e859c5a2c5638e03f,4,,063179eb93f4337a662e859c5a2c5638e03f,root,063179eb93f4337a662e859c5a2c5638e03f|4|-1,5,2,1786166652989475328,1786166653119518208,1786166681156018176,1976.86753,10.238282196637998,28166.393388999997,2559.0,worker_8a32eb3d,94b5fdb6-42d9-4c48-b585-d8c78c72fa60,True,root,0,1,1,0,1,0
31235207041|8|9017979109|6|05f72f78a037cfa5cd4e4541960a574701d9|5|1786166686982918656|94,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,5,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|5|-1,6,5,1786166686982918656,1786166687184588544,1786166692301485312,710.6958639999999,13.016106562146891,5318.3975869999995,355.0,worker_6e24a6ae,33627f67-6262-4a87-b681-f208bf4ecdc4,True,root,0,1,1,0,1,0
31235207041|8|9017979109|7|05f72f78a037cfa5cd4e4541960a574701d9|6|1786166692994830080|95,05f72f78a037cfa5cd4e4541960a574701d9,05f72f78a037cfa5cd4e4541960a574701d9,6,,05f72f78a037cfa5cd4e4541960a574701d9,root,05f72f78a037cfa5cd4e4541960a574701d9|6|-1,7,6,1786166692994830080,1786166693204465664,1786166700291766528,813.2093299999999,12.268556098484847,7291.00695,529.0,worker_6e24a6ae,78fb4304-2fed-4493-a7db-2186bd037459,True,root,0,1,1,0,1,0
31235207041|8|9017979109|8|05c249572509162371b7b82339674db64b5d|9|1786166710294891520|96,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,9,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|9|-1,8,9,1786166710294891520,1786166710537327360,1786166715031079936,1228.7680599999999,9.905539881355931,4735.329178,355.0,worker_29a49ec4,4e47925a-31f1-45cb-be81-11330f241a14,True,root,0,1,1,0,1,0
31235207041|8|9017979109|9|05c249572509162371b7b82339674db64b5d|10|1786166717054521088|97,05c249572509162371b7b82339674db64b5d,05c249572509162371b7b82339674db64b5d,10,,05c249572509162371b7b82339674db64b5d,root,05c249572509162371b7b82339674db64b5d|10|-1,9,10,1786166717054521088,1786166717355251456,1786166756332860672,1076.149091,9.843349432105127,39278.188236999995,3882.0,worker_29a49ec4,58fd1d4d-b3e7-4e56-a575-bd1b8260b30f,True,root,0,1,1,0,1,0
