comparison_label,comparison_kind,comparison_scope,hisparse_concurrency,gpu_resident_mtp_concurrency,hisparse_decode_worker_count,gpu_resident_mtp_decode_worker_count,metric,hisparse_value,gpu_resident_mtp_value,gpu_resident_over_hisparse_ratio,hisparse_request_count,gpu_resident_request_count,hisparse_root_id_count,gpu_resident_root_id_count,hisparse_itl_sample_count,gpu_resident_itl_sample_count,exact_matched_source_key_count,same_output_length_count,strict_ttft_count,strict_decode_count,matching_method,worker_normalization_basis,caveat
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,4,8,1,2,ttft_median_ms,3319.2344209999997,1471.051316,0.4431899436487557,379,957,8,14,267,853,,,,,,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,4,8,1,2,itl_weighted_ms,34.780481121653004,10.813490919757758,0.3109068814182013,379,957,8,14,267,853,,,,,,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,4,8,1,2,weighted_decode_tps,28.75175868045822,92.47707400140878,3.2163971264917057,379,957,8,14,267,853,,,,,,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,4,8,1,2,wall_output_tps,67.03799225409588,210.50477082010926,3.1400816722288973,379,957,8,14,267,853,,,,,,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,4,8,1,2,output_tokens_total,243209.0,760694.0,3.1277378715425828,379,957,8,14,267,853,,,,,,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,source_key_matched_median_observed_system_ratio,4,8,1,2,ttft_ratio_gpu_resident_over_hisparse,,0.4950746742148541,0.4950746742148541,379,957,8,14,267,853,120.0,120.0,120.0,68.0,source_trace_id+source_outer_idx+source_inner_idx,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,source_key_matched_median_observed_system_ratio,4,8,1,2,itl_ratio_gpu_resident_over_hisparse,,0.3370380039744648,0.3370380039744648,379,957,8,14,267,853,120.0,120.0,120.0,68.0,source_trace_id+source_outer_idx+source_inner_idx,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c4_vs_gpu_resident_mtp_c8,approximate_worker_normalized_observed_system_ratio,source_key_matched_median_observed_system_ratio,4,8,1,2,e2e_ratio_gpu_resident_over_hisparse,,0.31826894705560366,0.31826894705560366,379,957,8,14,267,853,120.0,120.0,120.0,68.0,source_trace_id+source_outer_idx+source_inner_idx,"1 HiSparse decode worker at c4 versus 2 GPU-resident MTP decode workers at c8; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c8_vs_gpu_resident_mtp_c16,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,8,16,1,2,ttft_median_ms,228707.99470399998,22688.679092,0.099203699115828,219,969,11,24,167,853,,,,,,"1 HiSparse decode worker at c8 versus 2 GPU-resident MTP decode workers at c16; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
approximate_worker_normalized_hisparse_c8_vs_gpu_resident_mtp_c16,approximate_worker_normalized_observed_system_ratio,run_level_unpaired_observed_system_difference,8,16,1,2,itl_weighted_ms,30.753984231993268,10.908306229460006,0.354695708600648,219,969,11,24,167,853,,,,,,"1 HiSparse decode worker at c8 versus 2 GPU-resident MTP decode workers at c16; concurrency ratio is architectural context, not a demonstrated per-worker load match","Approximate worker-normalized mixed-workload comparison only: public HiSparse uses 1 decode worker and GPU-resident MTP uses 2 decode workers. This does not establish equal routing or active concurrency per worker; observed worker_id is request metadata, not backend GPU-affinity evidence. Other architecture, GPU-count, KV-mode/dtype, MTP, and software differences remain confounded."
