concurrency,root_trace_id,conversation_id,source_outer_idx,source_inner_idx,turn_index,worker_id,input_sequence_length,logical_prompt_tokens,cache_read_tokens,new_prompt_tokens,output_tokens,ttft_ms,itl_ms,e2e_ms,match_class
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,98,,92,worker_ffcd9e27,1.0,,,,1.0,33765.182015,,33765.182015,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,99,,93,worker_ffcd9e27,1.0,,65472.0,,1.0,32143.559695,,32143.559695,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,100,,94,worker_ffcd9e27,1.0,,,,1.0,27500.734141999998,,27500.734141999998,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,101,,95,worker_ffcd9e27,1.0,,,,1.0,26404.255422,,26404.255422,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,102,,96,worker_ffcd9e27,1.0,,32704.0,,1.0,25588.722227,,25588.722227,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,103,,97,worker_ffcd9e27,1.0,,294784.0,,1.0,27367.100253999997,,27367.100253999997,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,104,,98,worker_ffcd9e27,1.0,,262016.0,,1.0,16578.997666,,16578.997666,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,105,,99,worker_ffcd9e27,1.0,,,,1.0,29178.219866,,29178.219866,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,106,,100,worker_ffcd9e27,1.0,,163776.0,,1.0,19346.571312,,19346.571312,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,107,,101,worker_ffcd9e27,1.0,,,,1.0,27614.149843,,27614.149843,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,108,,102,worker_ffcd9e27,1.0,,,,1.0,27645.777006999997,,27645.777006999997,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,109,,103,worker_ffcd9e27,1.0,,163776.0,,1.0,38792.634544,,38792.634544,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,110,,104,worker_ffcd9e27,1.0,,,,1.0,29340.215077999997,,29340.215077999997,loader_metadata_turn_match
12,0196085d85d2075a50b74cd8795ffbdcea9a,0196085d85d2075a50b74cd8795ffbdcea9a,111,,105,worker_ffcd9e27,1.0,,458688.0,,1.0,4588.710685,,4588.710685,loader_metadata_turn_match
