exact_source_key,source_request_index,source_outer_idx,source_inner_idx,source_conversation_path,source_branch_type,request_start_ns,request_end_ns,ttft_ms,itl_ms,e2e_ms,output_tokens,system_inflight_before_start,system_inflight_at_start,root_inflight_at_start,subagent_inflight_at_start,system_inflight_before_end,system_inflight_after_end,x_request_id
07dd40536557a1d6440a923557c3129dc929|0|-1,0,0,,07dd40536557a1d6440a923557c3129dc929,root,1786168029914192384,1786168034533620736,2488.659435,10.495801182266009,4619.307075,204.0,1,2,2,0,2,1,fd1c1cd8-3313-44a8-af16-364e6e4ee48c
07dd40536557a1d6440a923557c3129dc929|1|-1,1,1,,07dd40536557a1d6440a923557c3129dc929,root,1786168035375517952,1786168040000086528,2552.269871,10.57232975,4624.446502,197.0,1,2,2,0,2,1,0447552e-a8c5-4999-9b22-c9eaeb402b3b
07dd40536557a1d6440a923557c3129dc929|2|-1,2,2,,07dd40536557a1d6440a923557c3129dc929,root,1786168041007448320,1786168042945233408,697.959086,10.41767944537815,1937.66294,120.0,1,2,2,0,3,2,071fadf7-4e0b-4214-a2ea-9ac2fb7f44f6
07dd40536557a1d6440a923557c3129dc929|3|-1,3,3,,07dd40536557a1d6440a923557c3129dc929,root,1786168043653183744,1786168047678719232,2529.4943909999997,11.869946111111112,4025.1076009999997,127.0,2,3,3,0,3,2,600cb2b8-b421-4a5e-90ac-104537b1176c
07dd40536557a1d6440a923557c3129dc929|4|-1,4,4,,07dd40536557a1d6440a923557c3129dc929,root,1786168048504240128,1786168051677552640,978.579492,10.551029721153846,3173.1936739999996,209.0,2,3,3,0,4,3,0eaf649d-dad8-4318-a3a4-b226e101896e
07dd40536557a1d6440a923557c3129dc929|5|-1,5,5,,07dd40536557a1d6440a923557c3129dc929,root,1786168052437248256,1786168058431430400,740.080436,10.341965836614172,5993.799081,509.0,3,4,4,0,4,3,cea694ec-bcc4-42b9-96f2-e1e2ee6825a0
07dd40536557a1d6440a923557c3129dc929|6|-1,6,6,,07dd40536557a1d6440a923557c3129dc929,root,1786168059251952640,1786168106038228736,814.188357,10.464822970635101,46786.155667,4394.0,2,3,3,0,3,2,122dcd66-3a64-46af-b928-42f5873db431
07dd40536557a1d6440a923557c3129dc929|7|-1,7,7,,07dd40536557a1d6440a923557c3129dc929,root,1786168107464587520,1786168151659898624,1155.2709109999998,10.523174633251834,44195.055161,4091.0,2,3,3,0,3,2,50d79516-2828-4f02-b42e-6cde63071188
07dd40536557a1d6440a923557c3129dc929|8|0,8,8,0.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168126830161920,1786168129691997952,1531.2402519999998,10.728569322580645,2861.582848,125.0,3,4,3,1,3,2,3fe27dcf-9e08-4876-8089-9dff378a603c
07dd40536557a1d6440a923557c3129dc929|8|1,9,8,1.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168130365415936,1786168134571106816,2097.9133659999998,10.753431025510205,4205.585846999999,197.0,2,3,2,1,5,4,a8b8e53f-589d-444b-bb1d-f6442ea73017
07dd40536557a1d6440a923557c3129dc929|8|2,10,8,2.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168135320967936,1786168138343215872,797.43679,10.695588697115383,3022.1192389999997,209.0,3,4,3,1,5,4,3cd93ec8-b232-448b-ab24-4dee293ee777
07dd40536557a1d6440a923557c3129dc929|9|0,40,9,0.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1786168136830004480,1786168139514789888,754.044821,10.66626432596685,2684.638664,182.0,3,4,2,2,5,4,6786b21e-5680-41c3-961e-00d89726a545
07dd40536557a1d6440a923557c3129dc929|8|3,11,8,3.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1786168139231706624,1786168142402353408,1004.6429949999999,10.616975485294118,3170.5059939999996,205.0,4,5,3,2,3,2,74baf788-b2d3-4fdc-b54e-8959cfdd38e9
