exact_source_key,source_trace_id,source_outer_idx,source_inner_idx,c8_source_conversation_path,c12_source_conversation_path,c16_source_conversation_path,c8_turn_index,c12_turn_index,c16_turn_index,c8_input_sequence_length,c12_input_sequence_length,c16_input_sequence_length,c8_source_input_tokens,c12_source_input_tokens,c16_source_input_tokens,c8_output_tokens,c12_output_tokens,c16_output_tokens,same_output_length_c8_c12,same_output_length_c8_c16,same_output_length_all,same_output_length_c12_c16,strict_ttft_c12_c16,strict_decode_c12_c16,ttft_ratio_c16_over_c12,itl_ratio_c16_over_c12,decode_tps_ratio_c16_over_c12,e2e_ratio_c16_over_c12,match_validation_status_c12_c16,c8_ttft_ms,c12_ttft_ms,c16_ttft_ms,c8_itl_ms,c12_itl_ms,c16_itl_ms,c8_decode_tps,c12_decode_tps,c16_decode_tps,c8_e2e_ms,c12_e2e_ms,c16_e2e_ms,ttft_ratio_c16_over_c8,itl_ratio_c16_over_c8,decode_tps_ratio_c16_over_c8,e2e_ratio_c16_over_c8,strict_ttft_c8_c12,strict_decode_c8_c12,strict_ttft_c8_c16,strict_decode_c8_c16,matching_method
07dd40536557a1d6440a923557c3129dc929|11|-1,07dd40536557a1d6440a923557c3129dc929,11.0,,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8.0,8.0,8.0,72716.0,72715.0,72716.0,72704.0,72704.0,72704.0,2.0,2.0,2.0,True,True,True,True,True,True,11.648237682661685,13.51553651379216,0.07398892370861733,11.666749029321162,high_confidence_exact,6376.332963,3587.0367739999997,41782.65692,34.257912999999995,35.915908,485.42276599999997,29.19033625895425,27.84281550114228,2.060059951947124,6410.590875999999,3622.9526819999996,42268.079686,6.552772128189129,14.169653767291663,0.07057335460858874,6.593476405465748,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|50,07dd40536557a1d6440a923557c3129dc929,9.0,50.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,50.0,50.0,50.0,106731.0,106730.0,106731.0,106560.0,106560.0,106560.0,245.0,245.0,245.0,True,True,True,True,True,True,0.2104700359451813,0.9268276136237722,1.0789492946699477,0.26902446197700297,high_confidence_exact,1643.802692,26827.843273,5646.457138,11.370094331967211,9.787228155737704,9.07107331557377,87.95001789813504,102.17397449897558,110.24053771929493,4418.1057089999995,29215.926943,7859.799027,3.434996891950582,0.7978010604600082,1.2534453130751728,1.7789975036108854,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|51,07dd40536557a1d6440a923557c3129dc929,9.0,51.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,51.0,51.0,51.0,107119.0,107118.0,107119.0,106944.0,106944.0,106944.0,132.0,132.0,132.0,True,True,True,True,True,True,19.25228507586739,1.4742991306956437,0.6782884010303615,16.008899596900434,high_confidence_exact,1017.2072009999999,6335.93077,121981.14540499999,10.920916801526717,10.792811633587787,15.911832809160304,91.56740392530071,92.6542622950954,62.84631142078798,2447.8473019999997,7749.789094,124065.59550299999,119.91769748098746,1.457005222028234,0.6863393383092639,50.68355178921205,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|52,07dd40536557a1d6440a923557c3129dc929,9.0,52.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,52.0,52.0,52.0,107314.0,107313.0,107314.0,107136.0,107136.0,107136.0,582.0,582.0,582.0,True,True,True,True,True,True,0.3258301667965506,1.2506188593506409,0.7996041260078472,0.9430446670620162,high_confidence_exact,1085.046216,3094.781146,1008.3730569999999,11.645711624784854,10.689072881239243,13.36795613425129,85.8685181480676,93.55348317955004,74.80575115277395,7851.20467,9305.13249,8775.155571,0.9293365039485101,1.1478865839165284,0.8711662058006227,1.1176826919989082,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|53,07dd40536557a1d6440a923557c3129dc929,9.0,53.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,53.0,53.0,53.0,108277.0,108276.0,108277.0,108096.0,108096.0,108096.0,111.0,111.0,111.0,True,True,True,True,True,True,0.14283818654745062,1.0036769476366219,0.996336522777294,0.2648649427063669,high_confidence_exact,1505.406914,7232.533393,1033.081954,10.928482981818181,10.859726436363635,10.899657081818182,91.50400853107512,92.08335088916371,91.74600563059082,2707.540042,8427.103301,2232.044233,0.6862476479897448,0.9973623146004842,1.0026446611837068,0.8243808765063502,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|54,07dd40536557a1d6440a923557c3129dc929,9.0,54.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,54.0,54.0,54.0,108794.0,108793.0,108794.0,108608.0,108608.0,108608.0,197.0,197.0,197.0,True,True,True,True,True,True,1.0803597998234242,1.0203375248283868,0.9800678458514918,1.0444859546067355,high_confidence_exact,1551.847601,1416.8750699999998,1530.734867,12.335711530612244,10.739016780612245,10.957421801020407,81.06544948934682,93.1183943957846,91.26234420462625,3969.6470609999997,3521.722359,3678.3895399999997,0.9863950983418764,0.8882683235440875,1.1257859517157114,0.9266288623335122,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|55,07dd40536557a1d6440a923557c3129dc929,9.0,55.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,55.0,55.0,55.0,109054.0,109053.0,109054.0,108864.0,108864.0,108864.0,159.0,159.0,159.0,True,True,True,True,True,True,0.07827229701760009,1.017520945435366,0.9827807520680872,0.16870294724785392,high_confidence_exact,985.314496,16123.621921,1262.0329239999999,10.393504810126581,10.871928632911391,11.062415101265824,96.21393536333208,91.98000039963564,90.39617396797688,2627.488256,17841.386645,3009.89451,1.28084274525887,1.0643584915155389,0.939533068953207,1.1455406139786757,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|56,07dd40536557a1d6440a923557c3129dc929,9.0,56.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,56.0,56.0,56.0,109890.0,109889.0,109890.0,109696.0,109696.0,109696.0,395.0,395.0,395.0,True,True,True,True,True,True,9.541401968947007,1.0070619796991984,0.9929875421358794,3.5773622445628868,high_confidence_exact,965.4369939999999,1824.1611309999998,17405.054607,10.519436304568528,10.742952172588833,10.818818682741115,95.06212795506029,93.08428297312436,92.43153336096344,5110.094897999999,6056.884287,21667.669168,18.028162081180824,1.0284599259413327,0.9723276277242558,4.240169625123858,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|57,07dd40536557a1d6440a923557c3129dc929,9.0,57.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,57.0,57.0,57.0,110597.0,110596.0,110597.0,110400.0,110400.0,110400.0,213.0,213.0,213.0,True,True,True,True,True,True,0.011311468832753803,0.9510765334146976,1.0514400943209588,0.030930437651768734,high_confidence_exact,1112.604232,110234.664873,1246.915976,10.651751773584905,11.086685155660378,10.544286084905659,93.88127148061061,90.19828613870608,94.83809448526995,3370.775608,112585.042126,3482.3046259999996,1.1207183472226807,0.9899109845062529,1.0101918411368869,1.0330870490860629,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|58,07dd40536557a1d6440a923557c3129dc929,9.0,58.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,58.0,58.0,58.0,110921.0,110920.0,110921.0,110720.0,110720.0,110720.0,123.0,123.0,123.0,True,True,True,True,True,True,5.270134423142939,0.8738691430232833,1.1443360919466132,4.528552232752299,high_confidence_exact,2721.564782,7240.295150999999,38157.328709,11.103527459016393,12.042204762295082,10.523311155737705,90.06146953668949,83.0412719048811,95.02712456190773,4076.195132,8709.444131999999,39441.17267,14.020363932310762,0.9477448670775759,1.0551362869245136,9.675977570447676,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|59,07dd40536557a1d6440a923557c3129dc929,9.0,59.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,59.0,59.0,59.0,111115.0,111114.0,111115.0,110912.0,110912.0,110912.0,130.0,130.0,130.0,True,True,True,True,True,True,0.28057423751502875,1.1722142455248092,0.85308637377316,0.42109742169659353,high_confidence_exact,1007.277984,7307.058577999999,2050.172389,10.421547689922479,10.597254666666666,12.42225288372093,95.955037558096,94.36406234017088,80.50069575628078,2351.657636,8674.10443,3652.6430109999997,2.0353590781946447,1.1919777420136082,0.8389418398960202,1.5532205687954146,True,True,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
