exact_source_key,left_concurrency,right_concurrency,left_record_count,right_record_count,left_source_trace_id,left_source_outer_idx,left_source_inner_idx,left_source_outer_idx_exact_key_normalized,left_source_inner_idx_exact_key_normalized,left_source_request_index,left_source_conversation_path,right_source_conversation_path,left_source_branch_type,right_source_branch_type,left_turn_index,right_turn_index,source_path_validation,turn_index_validation,match_validation_status,left_benchmark_phase,right_benchmark_phase,left_input_sequence_length,right_input_sequence_length,left_source_input_tokens,right_source_input_tokens,left_output_tokens,right_output_tokens,same_output_length,left_ttft_ms,right_ttft_ms,ttft_ratio_right_over_left,left_itl_ms,right_itl_ms,itl_ratio_right_over_left,left_decode_tps,right_decode_tps,decode_tps_ratio_right_over_left,left_e2e_ms,right_e2e_ms,e2e_ratio_right_over_left,strict_ttft_subset,strict_decode_subset,matching_method
07dd40536557a1d6440a923557c3129dc929|10|0,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,0.0,10.0,0.0,102.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,0.0,0.0,match,match,high_confidence_exact,profiling,profiling,30798.0,30797.0,30784.0,30784.0,125.0,125.0,True,765.67404,1909.853613,2.4943429099411545,11.110842766129032,20.17064519354839,1.8154019112787563,90.0021736468507,49.57699619444258,0.5508422095334289,2143.4185429999998,4411.013617,2.057933869894677,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|1,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,1.0,10.0,1.0,103.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,1.0,1.0,match,match,high_confidence_exact,profiling,profiling,33232.0,33231.0,33216.0,33216.0,140.0,140.0,True,666.473083,1262.143593,1.8937652925437052,10.8903355323741,10.95709864028777,1.0061304913622908,91.82453534395366,91.26503583011795,0.993906862564129,2180.229722,2785.180304,1.2774710278901518,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|10,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,10.0,10.0,10.0,112.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,10.0,10.0,match,match,high_confidence_exact,profiling,profiling,76704.0,76703.0,76672.0,76672.0,112.0,112.0,True,920.888831,6692.101992999999,7.267003103656927,10.957673945945945,10.534778108108108,0.961406422574355,91.26024418439408,94.9236889223465,1.040142832957474,2137.190639,7861.462363,3.6784095061722755,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|11,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,11.0,10.0,11.0,113.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,11.0,11.0,match,match,high_confidence_exact,profiling,profiling,77923.0,77922.0,77888.0,77888.0,236.0,236.0,True,884.818326,1164.423315,1.3160027101427825,10.754122161702128,10.566004110638298,0.9825073540884851,92.98759907723823,94.64315833392095,1.0178040864923028,3412.037034,3647.434281,1.0689902379881377,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|12,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,12.0,10.0,12.0,114.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,12.0,12.0,match,match,high_confidence_exact,profiling,profiling,80871.0,80870.0,80832.0,80832.0,193.0,193.0,True,1154.6766519999999,18124.579759,15.696671208867572,10.630920484375,10.850126156249999,1.020619632344836,94.06523183667578,92.16482698903643,0.9797969471766252,3195.813385,20207.803980999997,6.323211510361704,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|13,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,13.0,10.0,13.0,115.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,13.0,13.0,match,match,high_confidence_exact,profiling,profiling,82475.0,82474.0,82432.0,82432.0,111.0,111.0,True,3306.623982,3901.855569,1.1800118762339515,15.818642509090909,10.482596409090908,0.6626735766401323,63.21654967708538,95.39621301577172,1.509038590417578,5046.674658,5054.941174,1.001638012465673,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|14,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,14.0,10.0,14.0,116.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,14.0,14.0,match,match,high_confidence_exact,profiling,profiling,82671.0,82670.0,82624.0,82624.0,129.0,129.0,True,807.007291,21234.890508,26.31313340637464,10.729254359375,10.478770367187499,0.9766541099877427,93.20312171798041,95.4310443839223,1.0239039489759074,2180.3518489999997,22576.173114999998,10.354371531986626,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|15,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,15.0,10.0,15.0,117.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,15.0,15.0,match,match,high_confidence_exact,profiling,profiling,83123.0,83122.0,83072.0,83072.0,2426.0,2426.0,True,869.967641,4072.1852759999997,4.6808468316352005,11.057801765773196,10.955380292371133,0.9907376280049546,90.43388742012567,91.27935072197886,1.0093489655921286,27685.136923,30638.982484999997,1.106694273184036,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|2,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,2.0,10.0,2.0,104.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,2.0,2.0,match,match,high_confidence_exact,profiling,profiling,48005.0,48004.0,48000.0,48000.0,138.0,138.0,True,1312.0290169999998,1268.859231,0.9670969273997391,10.7365610729927,10.960679153284671,1.0208742891479219,93.13969279376165,91.23522238129945,0.979552537104892,2782.937884,2770.472275,0.9955207016758554,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|3,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,3.0,10.0,3.0,105.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,3.0,3.0,match,match,high_confidence_exact,profiling,profiling,66441.0,66440.0,66432.0,66432.0,139.0,139.0,True,3603.6273079999996,2611.243353,0.7246152639600322,10.655618956521737,10.799549775362317,1.013507504296828,93.84719968688006,92.59645270410827,0.9866725167405646,5074.102723999999,4101.581222,0.808336260635783,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|4,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,4.0,10.0,4.0,106.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,4.0,4.0,match,match,high_confidence_exact,profiling,profiling,71241.0,71240.0,71232.0,71232.0,229.0,229.0,True,1432.965809,1229.133501,0.8577549396365255,10.395934942982455,10.844842192982455,1.0431810368631658,96.19144458719683,92.20973271949369,0.958606382461657,3803.2389759999996,3701.757521,0.973317097442367,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|10|5,8,12,1,1,07dd40536557a1d6440a923557c3129dc929,10.0,5.0,10.0,5.0,107.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,subagent,5.0,5.0,match,match,high_confidence_exact,profiling,profiling,72269.0,72268.0,72256.0,72256.0,308.0,308.0,True,1179.590183,1705.642689,1.445962092243014,10.70405883061889,16.39735821498371,1.531882295721243,93.42250596937177,60.98543356125573,0.6527916686504811,4465.736244,6739.631660999999,1.5091871290103893,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
