exact_source_key,left_concurrency,right_concurrency,left_record_count,right_record_count,left_source_trace_id,left_source_outer_idx,left_source_inner_idx,left_source_outer_idx_exact_key_normalized,left_source_inner_idx_exact_key_normalized,left_source_request_index,left_source_conversation_path,right_source_conversation_path,left_source_branch_type,right_source_branch_type,left_turn_index,right_turn_index,source_path_validation,turn_index_validation,match_validation_status,left_benchmark_phase,right_benchmark_phase,left_input_sequence_length,right_input_sequence_length,left_source_input_tokens,right_source_input_tokens,left_output_tokens,right_output_tokens,same_output_length,left_ttft_ms,right_ttft_ms,ttft_ratio_right_over_left,left_itl_ms,right_itl_ms,itl_ratio_right_over_left,left_decode_tps,right_decode_tps,decode_tps_ratio_right_over_left,left_e2e_ms,right_e2e_ms,e2e_ratio_right_over_left,strict_ttft_subset,strict_decode_subset,matching_method
07dd40536557a1d6440a923557c3129dc929|11|-1,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,11.0,,11.0,-1.0,118.0,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,root,root,8.0,8.0,match,match,high_confidence_exact,profiling,profiling,72716.0,72716.0,72704.0,72704.0,2.0,2.0,True,6376.332963,41782.65692,6.552772128189129,34.257912999999995,485.42276599999997,14.169653767291663,29.19033625895425,2.060059951947124,0.07057335460858874,6410.590875999999,42268.079686,6.593476405465748,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|50,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,50.0,9.0,50.0,90.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,50.0,50.0,match,match,high_confidence_exact,profiling,profiling,106731.0,106731.0,106560.0,106560.0,245.0,245.0,True,1643.802692,5646.457138,3.434996891950582,11.370094331967211,9.07107331557377,0.7978010604600082,87.95001789813504,110.24053771929493,1.2534453130751728,4418.1057089999995,7859.799027,1.7789975036108854,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|51,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,51.0,9.0,51.0,91.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,51.0,51.0,match,match,high_confidence_exact,profiling,profiling,107119.0,107119.0,106944.0,106944.0,132.0,132.0,True,1017.2072009999999,121981.14540499999,119.91769748098746,10.920916801526717,15.911832809160304,1.457005222028234,91.56740392530071,62.84631142078798,0.6863393383092639,2447.8473019999997,124065.59550299999,50.68355178921205,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|52,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,52.0,9.0,52.0,92.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,52.0,52.0,match,match,high_confidence_exact,profiling,profiling,107314.0,107314.0,107136.0,107136.0,582.0,582.0,True,1085.046216,1008.3730569999999,0.9293365039485101,11.645711624784854,13.36795613425129,1.1478865839165284,85.8685181480676,74.80575115277395,0.8711662058006227,7851.20467,8775.155571,1.1176826919989082,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|53,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,53.0,9.0,53.0,93.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,53.0,53.0,match,match,high_confidence_exact,profiling,profiling,108277.0,108277.0,108096.0,108096.0,111.0,111.0,True,1505.406914,1033.081954,0.6862476479897448,10.928482981818181,10.899657081818182,0.9973623146004842,91.50400853107512,91.74600563059082,1.0026446611837068,2707.540042,2232.044233,0.8243808765063502,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|54,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,54.0,9.0,54.0,94.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,54.0,54.0,match,match,high_confidence_exact,profiling,profiling,108794.0,108794.0,108608.0,108608.0,197.0,197.0,True,1551.847601,1530.734867,0.9863950983418764,12.335711530612244,10.957421801020407,0.8882683235440875,81.06544948934682,91.26234420462625,1.1257859517157114,3969.6470609999997,3678.3895399999997,0.9266288623335122,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|55,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,55.0,9.0,55.0,95.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,55.0,55.0,match,match,high_confidence_exact,profiling,profiling,109054.0,109054.0,108864.0,108864.0,159.0,159.0,True,985.314496,1262.0329239999999,1.28084274525887,10.393504810126581,11.062415101265824,1.0643584915155389,96.21393536333208,90.39617396797688,0.939533068953207,2627.488256,3009.89451,1.1455406139786757,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|56,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,56.0,9.0,56.0,96.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,56.0,56.0,match,match,high_confidence_exact,profiling,profiling,109890.0,109890.0,109696.0,109696.0,395.0,395.0,True,965.4369939999999,17405.054607,18.028162081180824,10.519436304568528,10.818818682741115,1.0284599259413327,95.06212795506029,92.43153336096344,0.9723276277242558,5110.094897999999,21667.669168,4.240169625123858,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|57,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,57.0,9.0,57.0,97.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,57.0,57.0,match,match,high_confidence_exact,profiling,profiling,110597.0,110597.0,110400.0,110400.0,213.0,213.0,True,1112.604232,1246.915976,1.1207183472226807,10.651751773584905,10.544286084905659,0.9899109845062529,93.88127148061061,94.83809448526995,1.0101918411368869,3370.775608,3482.3046259999996,1.0330870490860629,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|58,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,58.0,9.0,58.0,98.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,58.0,58.0,match,match,high_confidence_exact,profiling,profiling,110921.0,110921.0,110720.0,110720.0,123.0,123.0,True,2721.564782,38157.328709,14.020363932310762,11.103527459016393,10.523311155737705,0.9477448670775759,90.06146953668949,95.02712456190773,1.0551362869245136,4076.195132,39441.17267,9.675977570447676,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
07dd40536557a1d6440a923557c3129dc929|9|59,8,16,1,1,07dd40536557a1d6440a923557c3129dc929,9.0,59.0,9.0,59.0,99.0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,subagent,59.0,59.0,match,match,high_confidence_exact,profiling,profiling,111115.0,111115.0,110912.0,110912.0,130.0,130.0,True,1007.277984,2050.172389,2.0353590781946447,10.421547689922479,12.42225288372093,1.1919777420136082,95.955037558096,80.50069575628078,0.8389418398960202,2351.657636,3652.6430109999997,1.5532205687954146,True,True,source_trace_id+source_outer_idx+source_inner_idx; source-key median per concurrency
