concurrency,root_trace_id,source_trace_id,source_outer_idx,source_inner_idx,source_outer_idx_exact_key_normalized,source_inner_idx_exact_key_normalized,source_request_index,source_conversation_path,source_branch_type,source_branch_request_index,conversation_id,session_num,turn_index,benchmark_phase,request_start_ns,request_ack_ns,request_end_ns,raw_record_ordinal,execution_ordinal_all_0_based,execution_ordinal_all_1_based,execution_ordinal_profile_0_based,execution_ordinal_profile_1_based,execution_ordinal_within_root_0_based,execution_ordinal_within_root_1_based,execution_ordinal_within_branch_0_based,execution_ordinal_within_branch_1_based,worker_id,input_sequence_length,usage_prompt_tokens,source_input_tokens,source_output_tokens,logical_prompt_tokens,logical_prompt_metric_status,cache_read_tokens,cache_read_metric_status,output_tokens,ttft_ms,itl_ms,decode_tps,e2e_ms,exact_source_key,error,cancelled,is_profiled_valid
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,0,,0,-1,0,07dd40536557a1d6440a923557c3129dc929,root,0,07dd40536557a1d6440a923557c3129dc929,334,0,profiling,1786168029914192384,1786168030104636160,1786168034533620736,422,0,1,0,1,0,1,0,1,worker_52cdd4a9,50559.0,50559.0,50560,204,,not_exported_or_not_mapped,,not_exported,204.0,2488.659435,10.495801182266009,95.27619498829944,4619.307075,07dd40536557a1d6440a923557c3129dc929|0|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,1,,1,-1,1,07dd40536557a1d6440a923557c3129dc929,root,1,07dd40536557a1d6440a923557c3129dc929,336,1,profiling,1786168035375517952,1786168035587773184,1786168040000086528,423,1,2,1,2,1,2,1,2,worker_52cdd4a9,50883.0,50883.0,50880,197,,not_exported_or_not_mapped,,not_exported,197.0,2552.269871,10.57232975,94.58653141234079,4624.446502,07dd40536557a1d6440a923557c3129dc929|1|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,2,,2,-1,2,07dd40536557a1d6440a923557c3129dc929,root,2,07dd40536557a1d6440a923557c3129dc929,337,2,profiling,1786168041007448320,1786168041158902528,1786168042945233408,424,2,3,2,3,2,3,2,3,worker_52cdd4a9,51207.0,51207.0,51200,120,,not_exported_or_not_mapped,50880.0,profile_counter_scope_unvalidated,120.0,697.959086,10.41767944537815,95.99066713879878,1937.66294,07dd40536557a1d6440a923557c3129dc929|2|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,3,,3,-1,3,07dd40536557a1d6440a923557c3129dc929,root,3,07dd40536557a1d6440a923557c3129dc929,339,3,profiling,1786168043653183744,1786168043843953408,1786168047678719232,425,3,4,3,4,3,4,3,4,worker_52cdd4a9,51272.0,51272.0,51264,127,,not_exported_or_not_mapped,51200.0,profile_counter_scope_unvalidated,127.0,2529.4943909999997,11.869946111111112,84.24638078718226,4025.1076009999997,07dd40536557a1d6440a923557c3129dc929|3|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,4,,4,-1,4,07dd40536557a1d6440a923557c3129dc929,root,4,07dd40536557a1d6440a923557c3129dc929,340,4,profiling,1786168048504240128,1786168048921163520,1786168051677552640,426,4,5,4,5,4,5,4,5,worker_52cdd4a9,51532.0,51532.0,51520,209,,not_exported_or_not_mapped,51264.0,profile_counter_scope_unvalidated,209.0,978.579492,10.551029721153846,94.77747920613776,3173.1936739999996,07dd40536557a1d6440a923557c3129dc929|4|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,5,,5,-1,5,07dd40536557a1d6440a923557c3129dc929,root,5,07dd40536557a1d6440a923557c3129dc929,342,5,profiling,1786168052437248256,1786168052609823744,1786168058431430400,428,5,6,5,6,5,6,5,6,worker_52cdd4a9,55437.0,55437.0,55424,509,,not_exported_or_not_mapped,51520.0,profile_counter_scope_unvalidated,509.0,740.080436,10.341965836614172,96.69341552644185,5993.799081,07dd40536557a1d6440a923557c3129dc929|5|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,6,,6,-1,6,07dd40536557a1d6440a923557c3129dc929,root,6,07dd40536557a1d6440a923557c3129dc929,344,6,profiling,1786168059251952640,1786168059490583296,1786168106038228736,436,6,7,6,7,6,7,6,7,worker_52cdd4a9,57040.0,57040.0,57024,4394,,not_exported_or_not_mapped,55424.0,profile_counter_scope_unvalidated,4394.0,814.188357,10.464822970635101,95.55823379010404,46786.155667,07dd40536557a1d6440a923557c3129dc929|6|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,7,,7,-1,7,07dd40536557a1d6440a923557c3129dc929,root,7,07dd40536557a1d6440a923557c3129dc929,351,7,profiling,1786168107464587520,1786168107897552640,1786168151659898624,458,7,8,7,8,7,8,7,8,worker_52cdd4a9,61264.0,61264.0,61248,4091,,not_exported_or_not_mapped,50496.0,profile_counter_scope_unvalidated,4091.0,1155.2709109999998,10.523174633251834,95.02835739702854,44195.055161,07dd40536557a1d6440a923557c3129dc929|7|-1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,0.0,8,0,8,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,356,0,profiling,1786168126830161920,1786168126931620352,1786168129691997952,442,8,9,8,9,8,9,0,1,worker_52cdd4a9,30926.0,30926.0,30912,125,,not_exported_or_not_mapped,,not_exported,125.0,1531.2402519999998,10.728569322580645,93.20907289057442,2861.582848,07dd40536557a1d6440a923557c3129dc929|8|0,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,1.0,8,1,9,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,1,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,357,1,profiling,1786168130365415936,1786168130475646208,1786168134571106816,443,9,10,9,10,9,10,1,2,worker_52cdd4a9,33104.0,33104.0,33088,197,,not_exported_or_not_mapped,,not_exported,197.0,2097.9133659999998,10.753431025510205,92.99357550420092,4205.585846999999,07dd40536557a1d6440a923557c3129dc929|8|1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,2.0,8,2,10,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,2,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,360,2,profiling,1786168135320967936,1786168135452438016,1786168138343215872,446,10,11,10,11,10,11,2,3,worker_52cdd4a9,39504.0,39504.0,39488,209,,not_exported_or_not_mapped,33088.0,profile_counter_scope_unvalidated,209.0,797.43679,10.695588697115383,93.49648984442544,3022.1192389999997,07dd40536557a1d6440a923557c3129dc929|8|2,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,0.0,9,0,40,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,361,0,profiling,1786168136830004480,1786168136956443904,1786168139514789888,447,11,12,11,12,11,12,0,1,worker_52cdd4a9,30862.0,30862.0,30848,182,,not_exported_or_not_mapped,30080.0,profile_counter_scope_unvalidated,182.0,754.044821,10.66626432596685,93.75353633094541,2684.638664,07dd40536557a1d6440a923557c3129dc929|9|0,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,3.0,8,3,11,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,3,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,363,3,profiling,1786168139231706624,1786168139373877248,1786168142402353408,450,12,13,12,13,12,13,3,4,worker_52cdd4a9,46356.0,46356.0,46336,205,,not_exported_or_not_mapped,30912.0,profile_counter_scope_unvalidated,205.0,1004.6429949999999,10.616975485294118,94.18878299051639,3170.5059939999996,07dd40536557a1d6440a923557c3129dc929|8|3,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,1.0,9,1,41,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,1,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,364,1,profiling,1786168140094143488,1786168140234079488,1786168142083946496,449,13,14,13,14,13,14,1,2,worker_52cdd4a9,33805.0,33805.0,33792,120,,not_exported_or_not_mapped,30848.0,profile_counter_scope_unvalidated,120.0,717.918541,10.68693520168067,93.57219643689203,1989.66383,07dd40536557a1d6440a923557c3129dc929|9|1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,2.0,9,2,42,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,2,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,365,2,profiling,1786168142752760576,1786168142900979456,1786168145909076992,451,14,15,14,15,14,15,2,3,worker_52cdd4a9,38798.0,38798.0,38784,222,,not_exported_or_not_mapped,30080.0,profile_counter_scope_unvalidated,222.0,796.406709,10.67776266515837,93.65257791906242,3156.192258,07dd40536557a1d6440a923557c3129dc929|9|2,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,4.0,8,4,12,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,4,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,367,4,profiling,1786168143516365312,1786168143675542016,1786168146462391552,452,15,16,15,16,15,16,4,5,worker_52cdd4a9,51098.0,51098.0,51072,204,,not_exported_or_not_mapped,46336.0,profile_counter_scope_unvalidated,204.0,740.416605,10.864490640394088,92.0429712813234,2945.9082049999997,07dd40536557a1d6440a923557c3129dc929|8|4,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,0.0,10,0,102,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,0,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,368,0,profiling,1786168146356044544,1786168146474722816,1786168148499602688,454,16,17,16,17,16,17,0,1,worker_52cdd4a9,30798.0,30798.0,30784,125,,not_exported_or_not_mapped,30080.0,profile_counter_scope_unvalidated,125.0,765.67404,11.110842766129032,90.0021736468507,2143.4185429999998,07dd40536557a1d6440a923557c3129dc929|10|0,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,3.0,9,3,43,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,3,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,369,3,profiling,1786168146682841856,1786168146885919488,1786168149214464768,455,17,18,17,18,17,18,3,4,worker_52cdd4a9,46352.0,46352.0,46336,141,,not_exported_or_not_mapped,33792.0,profile_counter_scope_unvalidated,141.0,987.136259,11.031113935714286,90.65267622360462,2531.49221,07dd40536557a1d6440a923557c3129dc929|9|3,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,8,5.0,8,5,13,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,subagent,5,07dd40536557a1d6440a923557c3129dc929::sa:subagent_001_1a28c42b,370,5,profiling,1786168147490774528,1786168147667118336,1786168150538602752,456,18,19,18,19,18,19,5,6,worker_52cdd4a9,57437.0,57437.0,57408,207,,not_exported_or_not_mapped,51072.0,profile_counter_scope_unvalidated,207.0,779.087998,11.012606800970872,90.80502174215826,3047.684999,07dd40536557a1d6440a923557c3129dc929|8|5,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,10,1.0,10,1,103,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,subagent,1,07dd40536557a1d6440a923557c3129dc929::sa:subagent_003_35f49cca,371,1,profiling,1786168149138748672,1786168149243669504,1786168151319292416,457,19,20,19,20,19,20,1,2,worker_52cdd4a9,33232.0,33232.0,33216,140,,not_exported_or_not_mapped,30784.0,profile_counter_scope_unvalidated,140.0,666.473083,10.8903355323741,91.82453534395366,2180.229722,07dd40536557a1d6440a923557c3129dc929|10|1,False,False,True
8,07dd40536557a1d6440a923557c3129dc929,07dd40536557a1d6440a923557c3129dc929,9,4.0,9,4,44,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,subagent,4,07dd40536557a1d6440a923557c3129dc929::sa:subagent_002_23b2d9e6,372,4,profiling,1786168150184329984,1786168150340670464,1786168153359179520,459,20,21,20,21,20,21,4,5,worker_52cdd4a9,47637.0,47637.0,47616,219,,not_exported_or_not_mapped,38784.0,profile_counter_scope_unvalidated,219.0,829.389859,10.758505573394496,92.94971250216888,3174.7440739999997,07dd40536557a1d6440a923557c3129dc929|9|4,False,False,True
