source_file_path,total_records,field_name,canonical_field,present_count,presence_rate,null_count,null_rate_among_present,python_types,numeric_min,numeric_max,observed_unit,observed_unit_values,unit_value_present_count,inferred_unit,concurrency,artifact_id,artifact_name
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.decode_duration.unit,metricsdecodedurationunit,1044,1.0,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.decode_duration.value,metricsdecodedurationvalue,1044,1.0,0,0.0,float,0.0,196136.58869899999,ms,ms,1044,ms,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.e2e_output_token_throughput.unit,metricse2eoutputtokenthroughputunit,1044,1.0,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.e2e_output_token_throughput.value,metricse2eoutputtokenthroughputvalue,1044,1.0,0,0.0,float,0.011629505652702281,98.83347919655726,tokens/sec/user,tokens/sec/user,1044,tokens/sec/user,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.full_decode_duration.unit,metricsfulldecodedurationunit,1044,1.0,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.full_decode_duration.value,metricsfulldecodedurationvalue,1044,1.0,0,0.0,float,0.067206,196140.13332199998,ms,ms,1044,ms,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.full_response_inter_token_latency.unit,metricsfullresponseintertokenlatencyunit,853,0.8170498084291188,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.full_response_inter_token_latency.value,metricsfullresponseintertokenlatencyvalue,853,0.8170498084291188,0,0.0,float,6.5142464098360655,438.10467925,ms,ms,853,ms,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.full_response_output_token_throughput_per_user.unit,metricsfullresponseoutputtokenthroughputperuserunit,853,0.8170498084291188,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.full_response_output_token_throughput_per_user.value,metricsfullresponseoutputtokenthroughputperuservalue,853,0.8170498084291188,0,0.0,float,2.282559505440388,153.50969814253088,tokens/sec/user,tokens/sec/user,853,tokens/sec/user,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.http_req_duration.unit,metricshttpreqdurationunit,1044,1.0,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.http_req_duration.value,metricshttpreqdurationvalue,1044,1.0,0,0.0,float,636.6395309999999,210084.281415,ms,ms,1044,ms,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.input_sequence_length.unit,metricsinputsequencelengthunit,1044,1.0,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.input_sequence_length.value,metricsinputsequencelengthvalue,1044,1.0,0,0.0,int,1.0,217729.0,tokens,tokens,1044,tokens,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
data/raw/h200_gpu_resident_mtp/conc8/result/9017979109/conc_8/aiperf_artifacts/profile_export.jsonl,1044,metrics.inter_chunk_latency.unit,metricsinterchunklatencyunit,853,0.8170498084291188,0,0.0,str,,,,,0,unknown,8,9017979109,agentic_glm5.2_p2x1_d2x8_conc8_fp8_dynamo-sglang_prefill-tp1-pp1-dcp1-pcp8-ep1-dpfalse-nw2_decode-tp8-pp1-dcp1-pcp1-ep1-dptrue-nw2_disagg-true_spec-mtp_conc8_h200-dgxc-slurm_7
