concurrency,root_trace_id,profiled_request_count,input_sequence_length_total,output_tokens_total,ttft_median_ms,e2e_median_ms,wall_span_s,wall_output_tps
8,0470d446a4514dfe0c6ad0be92853bd13287,173,18361102.0,77132.0,1201.4470529999999,4922.150889,3192.192272128,24.162704945270033
8,069d7bf5f1efb4e76e3c84510367e6af78a5,162,13165256.0,195870.0,1358.8215679999998,10711.709764,2364.566170368,82.83549111654446
8,085411a4cc4b15108dd9b50007261a2efb65,92,10163155.0,100152.0,1943.1767034999998,7308.427428499999,1695.59817984,59.06588081466951
8,07dd40536557a1d6440a923557c3129dc929,119,9915281.0,37635.0,1080.569611,3604.6599459999998,482.6908288,77.96916318787949
8,085aacf44ac5428ad3c6b4f6cd431e083832,59,7477448.0,88917.0,4255.42961,15213.231237,1689.46741504,52.63019529612815
8,063179eb93f4337a662e859c5a2c5638e03f,71,4506262.0,35251.0,1021.181608,5020.783773,1436.248086272,24.543809900905995
8,05f72f78a037cfa5cd4e4541960a574701d9,47,4255701.0,42388.0,1112.5112769999998,9690.716305,3204.715306752,13.22675992800138
8,05c249572509162371b7b82339674db64b5d,30,3559417.0,59305.0,1341.7605675,11133.706870499998,1863.020254976,31.83271885616938
8,077ea9e6554f45bbad9c24a8462bae9a8512,31,2334424.0,48194.0,1213.489188,21719.256942,2284.75286656,21.093747470623594
8,03e110ac6921c2fe9ac7772a9654314a2beb,52,2292099.0,39500.0,1318.2760275,5915.2594475,949.015730432,41.62207088181696
8,006c98de37d819e95b0840e25426bb7ca99d,18,1933561.0,17679.0,5012.9783005,14773.6531795,1006.196562688,17.570125615189443
8,0a279af1bec84c6ab033bb03f5d8bfd6b08d,11,1031701.0,17696.0,3251.44325,7210.393849,266.446025216,66.41495209265881
8,0196085d85d2075a50b74cd8795ffbdcea9a,58,119423.0,941.0,9300.900051,9649.176553000001,3276.510241024,0.28719580614096035
8,002001296e8a8c38ad9d7cc436d691afc602,34,34.0,34.0,11559.299585,11559.299585,3181.10697216,0.010688103323012019
12,0470d446a4514dfe0c6ad0be92853bd13287,168,17775429.0,75905.0,1621.6652104999998,8525.356058999998,3295.775507968,23.030998263227882
12,0b7f3ca692f15ae2651a310d9411d70794aa,96,11753237.0,68206.0,4213.533323,13060.915083,2932.811995648,23.2561787462718
12,085aacf44ac5428ad3c6b4f6cd431e083832,148,11082188.0,128456.0,2121.5681974999998,8405.411814,3314.167294208,38.759660752339194
12,085411a4cc4b15108dd9b50007261a2efb65,96,11058739.0,114259.0,5729.526673,12005.134269499998,2365.530610176,48.301636642739915
12,07dd40536557a1d6440a923557c3129dc929,112,9547239.0,31875.0,1729.7210515,4614.447884499999,836.78873344,38.092052063085674
12,0bc9c4f798d321286bf39f2543c0c4e4c059,95,8890623.0,108781.0,3137.3809429999997,8688.738435,2617.884499456,41.55301733999527
12,0a279af1bec84c6ab033bb03f5d8bfd6b08d,35,5657176.0,70510.0,8258.122515,24576.870047,3453.796092928,20.41521795232105
12,077ea9e6554f45bbad9c24a8462bae9a8512,27,2412018.0,41553.0,5574.54199,27347.646085,2287.772764928,18.163080108748364
12,03e110ac6921c2fe9ac7772a9654314a2beb,52,2291976.0,39500.0,6302.574654999999,15317.9297355,1258.780804608,31.379569703798268
12,0a688303b1ae62a97607af8021f2130c2caf,31,2264526.0,30863.0,6237.738291,17869.802209999998,2408.085840128,12.81640358732374
12,0bed163ac9566086e14ffd85c7481096d49d,32,2007549.0,49512.0,4865.7016655,22124.773200999996,2009.6618752,24.636980285587896
12,0bcd99353218b9a386b1c4aec13d77abecdb,30,2007255.0,30559.0,3926.0069875,14136.512149999999,2055.63612416,14.865957861334728
12,006c98de37d819e95b0840e25426bb7ca99d,18,1933525.0,17679.0,13217.105882,21620.2090915,1018.413930752,17.359346201151993
12,0d8a816e4819b765d81ff748da94d463f3b2,16,1337067.0,13423.0,6869.785726,26021.002433999998,907.809319936,14.786144739014482
12,063179eb93f4337a662e859c5a2c5638e03f,12,1310342.0,5253.0,6495.332829,11678.5892385,250.66801408,20.95600437606499
12,0db32e2f852a2ea24ed616b31975a84da5e4,11,1206117.0,8477.0,6792.051796,23050.498014999997,774.426656256,10.946162469384037
12,0d41be2aa98333f3662682210647e5971c7b,15,915921.0,40606.0,2631.430214,7008.025699999999,1195.513773568,33.965313405642966
12,0196085d85d2075a50b74cd8795ffbdcea9a,45,45.0,45.0,29178.219866,29178.219866,3290.475514368,0.013675834937383854
12,002001296e8a8c38ad9d7cc436d691afc602,33,33.0,33.0,21503.70495,21503.70495,3282.548418304,0.010053164735053677
16,0470d446a4514dfe0c6ad0be92853bd13287,99,11074189.0,29912.0,25113.253747,31078.842139999997,3298.36052352,9.06874787843932
16,0b7f3ca692f15ae2651a310d9411d70794aa,86,10802539.0,60818.0,9285.682351,16267.833214999999,3558.501261312,17.090903033030465
16,085411a4cc4b15108dd9b50007261a2efb65,85,10671549.0,102939.0,29115.84289,36872.534837,3170.927230208,32.46337507191788
16,0bc9c4f798d321286bf39f2543c0c4e4c059,97,9693840.0,120969.0,12939.781782999999,19215.543121,3328.38793856,36.344621550436294
16,0db32e2f852a2ea24ed616b31975a84da5e4,37,5868431.0,45428.0,24694.050424999998,35293.176505999996,2907.286340608,15.625567858754378
16,0a279af1bec84c6ab033bb03f5d8bfd6b08d,27,4708937.0,62943.0,27853.830212999997,53465.661451,3451.615344128,18.235809533956523
16,0bed163ac9566086e14ffd85c7481096d49d,50,4228717.0,84528.0,15883.8072805,32634.866674999997,3417.10436352,24.73673350524381
16,0e4206535a79f980e2b1091181202ea987fe,27,3887842.0,13367.0,10181.329217999999,17166.733518,1197.930890496,11.158406637686276
16,0ede42538334da8586bc60008762abfc0ab7,57,3181078.0,22687.0,24922.346351,29601.307115,1164.408023808,19.483720084482066
16,0d41be2aa98333f3662682210647e5971c7b,33,3173925.0,91659.0,9798.562289,27965.080617,2571.41486976,35.64535660033532
16,0d8a816e4819b765d81ff748da94d463f3b2,27,2930968.0,28953.0,41823.85527,54385.193479999994,3262.486015488,8.874520798725703
16,0bcd99353218b9a386b1c4aec13d77abecdb,34,2523204.0,34160.0,4402.101251,21168.759462,2631.867787264,12.979375394655204
16,03e110ac6921c2fe9ac7772a9654314a2beb,52,2292058.0,39500.0,19740.301007,26931.0166455,1464.125339136,26.978564569690104
16,0a688303b1ae62a97607af8021f2130c2caf,24,2078035.0,25063.0,20399.3754675,33268.648873,2135.026482432,11.73896446073626
16,0dedb07b5e4362b028db9d8ab90fff7fd4ad,18,1942103.0,36554.0,26211.7651605,40290.009430499995,1845.829761024,19.80355977125494
16,006c98de37d819e95b0840e25426bb7ca99d,18,1933525.0,17679.0,10906.392940499998,36440.9822745,1457.900904448,12.126338591369308
16,11310dce936f02050cadaeae295bcdd1ce7f,39,1869299.0,17248.0,30684.311952,35166.44282,636.792758528,27.08573514540304
16,07dd40536557a1d6440a923557c3129dc929,13,1385601.0,3925.0,1647.9248659999998,7859.799027,301.853785856,13.002984172848604
16,063179eb93f4337a662e859c5a2c5638e03f,12,1310330.0,5253.0,24024.859914499997,30194.1814605,366.22503296,14.343639913259958
16,1007f04d2c64580308858bb42f292992929d,17,1051144.0,5302.0,38161.338769999995,39137.761665,969.765129216,5.467303205969435
16,0f909e7d63c0d5e1f060d727ada25d910d89,16,658501.0,10623.0,68403.3842605,74350.847309,987.837181184,10.753796478147851
16,0196085d85d2075a50b74cd8795ffbdcea9a,38,38.0,38.0,32193.504002499998,32193.504002499998,3276.446077952,0.011597932362052655
16,085aacf44ac5428ad3c6b4f6cd431e083832,37,37.0,37.0,45065.656898,45065.656898,3246.805321216,0.011395817223233665
16,002001296e8a8c38ad9d7cc436d691afc602,26,26.0,26.0,48880.1322005,48880.1322005,3149.0900608,0.008256353263328048
