concurrency,worker_id,profiled_request_count,root_id_count,output_tokens_total,ttft_median_ms,weighted_decode_tps,scope
8,worker_29a49ec4,122,2,159457.0,1788.7622834999997,93.01130992060692,observed request worker_id; absent/null identifiers are retained
8,worker_4c4f3206,53,3,67443.0,2842.726881,92.97037555345055,observed request worker_id; absent/null identifiers are retained
8,worker_52cdd4a9,254,4,161221.0,1210.0006395,92.84043083591332,observed request worker_id; absent/null identifiers are retained
8,worker_6e24a6ae,58,2,60084.0,1547.838699,92.77795212620025,observed request worker_id; absent/null identifiers are retained
8,worker_764e719b,44,3,5745.0,2913.061443,94.25058134709182,observed request worker_id; absent/null identifiers are retained
8,worker_775bd273,58,1,941.0,9300.900051,93.41232059684603,observed request worker_id; absent/null identifiers are retained
8,worker_8a32eb3d,154,2,70433.0,1142.228873,91.59723596944806,observed request worker_id; absent/null identifiers are retained
8,worker_e00f4dfb,214,2,235370.0,1340.6190935,91.8759943352497,observed request worker_id; absent/null identifiers are retained
12,worker_1ccb319f,148,1,128456.0,2121.5681974999998,91.81867900634651,observed request worker_id; absent/null identifiers are retained
12,worker_3bc7b03f,207,2,140656.0,1950.684178,90.52220114188157,observed request worker_id; absent/null identifiers are retained
12,worker_410b90b5,132,3,69711.0,1655.9116574999998,92.02411172697833,observed request worker_id; absent/null identifiers are retained
12,worker_6c9eaab5,48,2,48238.0,5787.0081305,91.21142256229922,observed request worker_id; absent/null identifiers are retained
12,worker_b0ce676e,109,3,73462.0,4335.870644,91.45190372450669,observed request worker_id; absent/null identifiers are retained
12,worker_c2609825,39,3,1520.0,21416.203106,93.96706589307864,observed request worker_id; absent/null identifiers are retained
12,worker_c3268030,43,2,54976.0,5799.116105,91.02545904957171,observed request worker_id; absent/null identifiers are retained
12,worker_c98b12b0,107,2,122736.0,5956.47336,91.92888150302646,observed request worker_id; absent/null identifiers are retained
12,worker_d0d3d3c4,64,2,75214.0,5367.7277975,91.16474551630742,observed request worker_id; absent/null identifiers are retained
12,worker_d7843394,84,2,89012.0,5184.820799,91.28268188238567,observed request worker_id; absent/null identifiers are retained
12,worker_fae57196,46,2,71469.0,3793.6972669999996,90.22153419780443,observed request worker_id; absent/null identifiers are retained
12,worker_ffcd9e27,45,1,45.0,29178.219866,,observed request worker_id; absent/null identifiers are retained
16,worker_058a5168,39,4,54385.0,27163.620009,92.19324128776528,observed request worker_id; absent/null identifiers are retained
16,worker_10503fce,85,4,51055.0,21093.136755,91.13233627023503,observed request worker_id; absent/null identifiers are retained
16,worker_1a912d0b,40,2,32878.0,33220.00129,91.00125033977919,observed request worker_id; absent/null identifiers are retained
16,worker_1c6cc857,35,2,35.0,45850.960211,,observed request worker_id; absent/null identifiers are retained
16,worker_21c823df,50,1,84528.0,15883.8072805,91.44434969462401,observed request worker_id; absent/null identifiers are retained
16,worker_39538c2d,63,4,24390.0,16962.837593,92.63004713314112,observed request worker_id; absent/null identifiers are retained
16,worker_49e0003c,87,2,60819.0,9841.812046,90.38458843050252,observed request worker_id; absent/null identifiers are retained
16,worker_4d6b897a,81,2,47750.0,23166.224605,92.12535960422802,observed request worker_id; absent/null identifiers are retained
16,worker_521f0ba5,48,3,50034.0,25034.0582325,93.08976379651644,observed request worker_id; absent/null identifiers are retained
16,worker_5316e27b,49,5,99951.0,26061.050777,91.83882522448803,observed request worker_id; absent/null identifiers are retained
16,worker_60de4de3,88,4,32323.0,31624.542204999998,91.27025744908966,observed request worker_id; absent/null identifiers are retained
16,worker_6fe6a231,86,2,103184.0,30099.8750485,91.94813737403724,observed request worker_id; absent/null identifiers are retained
16,worker_8115bf47,97,1,120969.0,12939.781782999999,92.31341192876631,observed request worker_id; absent/null identifiers are retained
16,worker_d937e081,51,2,39462.0,12477.324131,87.33313457708994,observed request worker_id; absent/null identifiers are retained
16,worker_f3d5e267,38,1,38.0,32193.504002499998,,observed request worker_id; absent/null identifiers are retained
16,worker_f8a02fb9,32,3,57810.0,37266.9840275,93.03301083478411,observed request worker_id; absent/null identifiers are retained
